Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
cicero.pro_ligario,1.0,"nouus, crimen, caius, caesar, et, ante, hic, dies, non, audio, propinquus, meus, ad, tu, quintus, tubero, defero, quintus, ligarium, in, africa, sum, is, caius, pansa, praesto, uir, ingenium, fretus, fortasse, familiaritas, is, qui, sum, is, cum, tu, audeo, sum, confiteor, itaque, quo, ego, uerto, nescio, paro, enim, uenio, cum, tu, is, neque, per, tu, scio, neque, audio, aliunde, possum, ut, ignoratio, tuus, ad, homo, miser, salus, abutor, sed, quoniam, diligentia, inimicus, inuestigo, sum, qui, lateo, confiteor, sum, opinor, praesertim, cum, meus, necessarius, pansa, facio, ut, is, integer, iam, non, sum, omitto, controuersia, omnis, oratio, ad, misericordia, tuus, confero, sum, qui, plurimus, sum, conseruo, cum, ab, tu, non, liberatio, culpa, sed, erro, uenio, impetro",113,"1.0, -1.0, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.5, 0.5, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, 0.0, NaN, 0.0, -1.0, 1.0, NaN, NaN, NaN, 0.5, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, 1.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, 0.0, NaN, NaN",0.013,-0.044,"crimen, hic, tu, tu, tu, tu, miser, tu, culpa",0.08
cicero.pro_ligario,2.0,"habeo, igitur, tubero, qui, sum, accusator, magnus, opto, confiteor, reus, sed, tamen, hic, confiteor, sui, in, is, pars, sum, qui, tu, qui, uir, omnis, laus, dignus, pater, tuus, itaque, prior, de, uester, delinquo, confiteor, necesse, sum, quam, ligaris, ullus, culpa, reprehendo, quintus, enim, ligarius, cum, sum, nullus, bellum, suspicio, legatus, in, africa, caius, considio, proficiscor, sum, qui, in, legatio, et, ciuis, et, socius, ita, sui, probo, ut, decedo, considius, prouincia, satis, facio, homo, non, possum, si, quisquam, alius, prouincia, praeficio, itaque, ligarius, cum, diu, recuso, nihil, proficio, prouincia, accipio, inuitus, qui, sic, praesum, in, pax, ut, et, ciuis, et, socius, gratus, sum, is, integritas, et, fides",106,"NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, 1.0, 1.0, 0.0, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, -0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, -0.5, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.5, NaN, 1.0, 1.0, NaN, NaN, 0.5, NaN, 1.0",0.071,-0.019,"reus, hic, tu, culpa",0.038
cicero.pro_ligario,3.0,"bellum, subeo, exardeo, qui, qui, sum, in, africa, ante, audio, gero, quam, paro, quo, audio, pars, cupiditas, inconsideratus, pars, caecus, quidam, timor, primus, salus, post, etiam, studium, suus, quaero, aliquis, dux, cum, ligarius, domus, specto, ad, suus, redeo, cupio, nullus, sui, implicaris, negotium, patior, sum, interim, publicus, attius, uarus, qui, tum, praetor, africa, obtineo, uticam, uenio, ad, is, statim, concurro, sum, atque, ille, non, mediocris, cupiditas, ad-rapio, imperium, si, ille, imperium, sum, possum, qui, ad, priuo, clamor, multitudo, imperitus, nullus, publicus, consilium, defero",83,"0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, -0.5, NaN, 0.0, -1.0, NaN, -0.5, 0.5, 1.0, NaN, NaN, 0.5, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, -0.5, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, -0.5, NaN, 0.0, 0.5, NaN",0.0,-0.042,"inconsideratus, imperitus",0.024
cicero.pro_ligario,4.0,"itaque, ligarius, qui, omnis, talis, negotium, fugio, paulus, aduenio, uaris, conquiesco, adhuc, caius, caesar, quintus, ligarius, omnis, culpa, uaco, domus, sum, egredior, non, modo, nullus, ad, bellum, sed, ne, ad, minimus, quidem, suspicio, bellum, legatus, in, pax, proficiscor, in, prouincia, pacatissima, ita, sui, gero, ut, is, pax, sum, expedio, profectio, certus, animus, tuus, non, debeo, offendo, num, igitur, remansio, multus, paruus, nam, profectio, uoluntas, habeo, non, turpis, remansio, necessitas, etiam, honestus, ergo, hic, duo, tempus, careo, crimen, unus, cum, sum, legatus, proficiscor, alter, cum, efflagito, ab, prouincia, praepono, africae, sum, tertius, tempus, qui, post, aduenio, uaris, in, africa, resto",99,"NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, -1.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, -0.5, 0.0, 0.0, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.5, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, NaN, NaN, -1.0, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, 0.0, NaN, -1.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN",-0.005,-0.04,"culpa, turpis, honestus, hic, crimen",0.051
cicero.pro_ligario,5.0,"si, sum, criminosus, necessitas, crimen, sum, non, uoluntas, an, ille, si, possum, illinc, ullus, modo, euado, uticae, quam, roma, cum, publicus, attio, quam, cum, concordissimis, frater, cum, alienus, sum, quam, cum, suus, malo, cum, ipse, legatio, plenus, desideo, atque, sollicitudo, sum, propter, incredibilis, quidam, frater, amor, hic, aequus, animus, sum, possum, bellum, discidium, distraho, ab, frater",56,"NaN, NaN, -1.0, NaN, -1.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, -0.5, NaN, NaN, -0.5, NaN, 0.0, 1.0, NaN, 0.5, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0",-0.027,-0.062,"criminosus, crimen, hic",0.054
cicero.pro_ligario,6.0,"nullus, igitur, habeo, caesar, adhuc, in, quintus, ligario, signum, alienus, ab, tu, uoluntas, qui, ego, causa, animaduerto, quaeso, qui, fides, defendo, prodo, meus, o, clementia, admirabilis, atque, omnis, laus, praedicatio, littera, monumentum, decoro, marcus, cicero, apud, tu, defendo, alius, in, is, uoluntas, non, sum, in, qui, sui, ipse, confiteor, sum, neque, tuus, taceo, cogitatio, extimesco, neque, quis, tu, de, alius, audio, de, sui, occurro, reformido, uideo, quam, non, reformido, uideo, quantus, lux, liberalitas, et, sapientia, tuus, ego, apud, tu, dico, oborior, quantus, possum, uox, contendo, ut, hic, populus, romanus, exaudio",90,"NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, -0.5, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, 1.0, NaN, NaN, 0.0, NaN, 1.0, 1.0, NaN, NaN, 1.0, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, 1.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN",0.067,-0.006,"tu, tu, extimesco, tu, tu, hic",0.067
cicero.pro_ligario,7.0,"suscepto, bellum, caesar, gero, etiam, ex, pars, magnus, nullus, uis, cogo, iudicium, atque, uoluntas, ad, is, arma, proficiscor, sum, qui, sum, sumo, contra, tu, apud, qui, igitur, hic, dico, nempe, apud, is, qui, cum, hic, scio, tamen, ego, ante, quam, uideo, res, publicus, reddo, qui, ad, ego, ex, aegypto, littera, mitto, ut, sum, idem, qui, sum, qui, ego, cum, ipse, imperator, in, totus, imperium, populus, romanus, unus, sum, sum, alter, patior, sum, ab, quo, hic, ipse, caius, pansa, ego, hic, nuntius, perfero, concedo, fascis, laureatus, tenuis, quoad, teneo, puto, qui, ego, tum, denique, salus, sui, puto, do, si, is, nullus, spolio, ornamentum, do",103,"NaN, 0.0, 0.5, NaN, NaN, NaN, 0.0, 0.0, NaN, 1.0, NaN, 0.5, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.034,0.0,"tu, hic, hic, hic, hic",0.049
cicero.pro_ligario,8.0,"uideo, quaeso, tubero, ut, qui, de, meus, facio, non, dubito, de, ligaris, audeo, dico, atque, hic, propterea, de, ego, dico, ut, ego, tubero, cum, de, sui, idem, dico, ignosco, qui, ego, industria, gloria, faueo, uel, propter, propinqua, cognatio, uel, qui, is, ingenium, studium, delecto, uel, qui, laus, adulescens, propinquus, existimo, etiam, ad, meus, aliquis, fructus, redundaris",56,"NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, 0.5, NaN, NaN, NaN, 1.0, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN",0.054,0.0,"hic, adulescens",0.036
cicero.pro_ligario,9.0,"sed, hic, quaero, quis, puto, sum, crimen, sum, in, africa, nempe, is, qui, et, ipse, in, idem, prouincia, sum, uolo, et, prohibeo, sui, ab, ligario, queror, et, certus, contra, ipse, caesar, sum, congredior, armo, quis, enim, tubero, tuus, ille, destringo, in, acies, pharsalica, gladius, ago, qui, latus, ille, mucro, peto, qui, sensus, sum, armus, tuus, qui, tuus, mens, oculus, manus, ardor, animus, quis, cupio, quis, opto, nimis, urgeo, commoueo, uideo, adulescens",71,"NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, 0.0, 0.5, 0.0, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.007,-0.028,"hic, crimen, adulescens",0.042
cicero.pro_ligario,10.0,"ad, ego, reuorto, idem, in, arma, sum, quis, autem, alius, ago, tubero, nisi, ut, qui, hic, possum, nos, possum, qui, igitur, impunis, caesar, tuus, clementia, laus, sum, is, ipse, ad, crudelitas, tu, acuo, oratio, atque, in, hic, causa, non, nihil, equidem, tubero, etiam, tuus, sed, multus, magis, pater, tuus, prudentia, desidero, qui, homo, cum, ingenium, tum, etiam, doctrina, excello, genus, hic, causa, qui, sum, non, uideo, nam, si, uideo, quouis, profecto, quam, iste, modo, ab, tu, ago, malo, arguo, fateor, non, sum, satis, accuso, is, qui, causa, habeo, aut, ut, ego, dico, bonus, quam, tu, aut, ut, tu, uolo, par",100,"NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, 0.5, 0.0, 1.0, 1.0, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, -0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, 0.0, 0.0, 0.5, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, 0.0, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5",0.035,-0.02,"hic, impunis, crudelitas, tu, hic, hic, tu, tu, tu",0.09
