Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
cicero.pro_q_roscio_comoedo,1.0,"malitia, natura, credo, is, scilicet, uir, bonus, et, singularis, fides, praeditus, in, suus, iudicium, suus, tabula, testis, uti, conor, soleo, fere, dico, qui, per, tabula, homo, honestus, pecunia, expendo, fero, ego, talis, uir, corrumpo, possum, ut, meus, causa, falsus, in, co-dico, refero, exspecto, quam, mox, chaerea, hic, oratio, uto, ego, hic, manus, plenus, perfidia, et, hic, digitus, meus, impello, possum, ut, falsus, perscribo, nomen, qui, si, ille, suus, profero, tabula, profero, suus, quoque, roscius, sum, in, ille, tabula, hic, nomen, at, in, hic, non, sum",85,"-1.0, 0.0, NaN, NaN, NaN, 0.5, 1.0, NaN, 0.0, 1.0, 0.5, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, 0.0, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, 0.0, 0.0, -1.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, -1.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN",0.006,-0.053,"honestus, pecunia, hic, hic, perfidia, hic, hic, hic",0.094
cicero.pro_q_roscio_comoedo,2.0,"cur, potis, ille, quam, hic, credo, scribo, ille, si, non, iussus, hic, expendo, fero, non, scribo, hic, qui, sui, expendo, fero, iubeo, nam, qui, ad, modus, turpis, sum, scribo, qui, non, debeo, sic, improbus, sum, non, refero, qui, debeo, aequus, enim, tabula, condemno, is, qui, uerus, non, refero, et, is, qui, falsus, perscribo, sed, ego, copia, et, facultas, causa, confido, uideo, quo, progredio, si, tabula, caius, fannius, accipio, et, expendo, profero, suus, in, suus, res, suus, arbitratus, scribo, quo, paruus, secundus, ille, iudico, non, recuso",85,"NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, 0.5, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN",-0.006,-0.035,"hic, hic, hic, turpis, improbus",0.059
cicero.pro_q_roscio_comoedo,3.0,"quis, hic, frater, frater, quis, parens, filius, tribuo, ut, quicumque, refero, is, reor, habeo, reor, habeo, roscius, profero, qui, tu, sum, persuadeo, hic, sum, persuadeo, qui, tu, sum, probo, hic, sum, probo, paulus, ante, marcus, perpennae, publicus, satur, tabula, posco, nunc, tuus, caius, fanni, chaerea, solus, flagito, et, quo, paruus, secundus, is, lis, do, non, recuso, quis, ita, non, profero",60,"NaN, NaN, 0.0, 0.0, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, 0.0, 0.0, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.0,-0.017,"hic, tu, hic, tu, hic",0.083
cicero.pro_q_roscio_comoedo,4.0,"non, confacio, tabula, immo, diligens, non, refero, paruus, nomen, in, co-dico, immo, omnis, superus, leuis, et, tenue, hic, nomen, sum, sestertius, ccciↄↄↄ, sum, quo, modo, tu, tantus, pecunia, extraordinarius, iaceo, quo, modo, sestertius, ccciↄↄↄ, in, co-dico, accipio, et, expendo, non, sum, pro, deus, immortalis, sum, -ne, quisquam, tantus, audacia, praeditus, qui, qui, nomen, refero, in, tabula, timeo, is, peto, audeo, qui, in, co-dico, iniuro, refero, nolo, is, iuro, in, lito, non, dubito, qui, sui, probaris, non, possum, is, persuadeo, alter, conor",81,"NaN, NaN, NaN, NaN, 1.0, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, 1.0, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.037,0.0,"hic, tu, pecunia, iaceo, audacia",0.062
cicero.pro_q_roscio_comoedo,5.0,"nimium, cito, aio, ego, indignor, de, tabula, non, habeo, sui, hic, nomen, in, co-dico, accipio, et, expendo, refero, confiteor, sed, in, aduersarius, pateo, contendo, usque, eon, tu, diligo, et, magnificus, circumspicio, ut, pecunia, non, ex, tuus, tabula, sed, ex, aduersarius, peto, suus, co-dico, testis, locus, recitaris, arrogantia, sum, suus, perscriptio, et, lituraris, aduersarius, profero, non, amentia, sum",57,"0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, -1.0, NaN",-0.07,-0.07,"hic, tu, pecunia, amentia",0.07
cicero.pro_q_roscio_comoedo,6.0,"qui, si, idem, uis, diligentia, auctoritas, habeo, aduersarius, quam, tabula, quis, attineo, co-dico, instituo, conscribo, ordo, conseruaris, memoria, trado, litteraris, uetustas, sed, si, qui, aduersarius, nihil, credo, idcirco, co-dico, scribo, instituo, qui, etiam, apud, omnis, leuis, et, infirmus, sum, is, apud, iudico, grauis, et, sancio, sum, duco, quis, sum, qui, neglegenter, scribo, aduersarius",53,"NaN, NaN, NaN, 1.0, 0.5, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 1.0, NaN, NaN, -0.5, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, -1.0, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0",-0.038,-0.094,,0.0
cicero.pro_q_roscio_comoedo,7.0,"quis, sum, qui, diligenter, confacio, tabula, qui, de, causa, quia, hic, sum, menstruus, ille, sum, aeternus, hic, deleo, statim, ille, seruo, sancio, hic, paruus, tempus, memoria, ille, perpetuus, existimatio, fides, et, religio, amplector, hic, sum, disiecto, ille, sum, in, ordo, confacio, itaque, aduersarius, in, iudicium, profero, nemo, co-dico, profero, tabula, recito, tu, caius, piso, talis, fides, uirtus, grauitas, auctoritas, orno, ex, aduersarius, pecunia, peto, non, audeo",66,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, 1.0, NaN, 0.0, NaN, 1.0, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, -1.0, NaN, 0.5, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, 1.0, -0.5, NaN, NaN, NaN, -1.0, 0.0, NaN, NaN, NaN",0.053,-0.045,"hic, hic, hic, hic, tu, pecunia",0.091
cicero.pro_q_roscio_comoedo,8.0,"ego, qui, clarus, sum, consuetudo, diu, dico, non, debeo, ille, uerus, qui, ad, res, uehemens, pertineo, quaero, quam, pridem, hic, nomen, fanni, in, aduersarius, refero, erubesco, quis, respondeo, nescio, quis, fingo, extemplo, non, habeo, sum, duo, mensis, iam, dico, tamen, in, co-dico, accipio, et, expendo, refero, debeo, amplus, sum, sex, mensis, cur, tam, diu, iaceo, hic, nomen, in, aduersarius, quis, si, tandem, amplus, triennium, sum, quo, modo, cum, omnis, qui, tabula, confacio, menstruus, paene, ratio, in, tabula, transfero, tu, hic, nomen, triennium, amplus, in, aduersarius, iacio, patera",87,"NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, -1.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, -1.0, NaN, NaN",-0.023,-0.034,"hic, erubesco, fingo, iaceo, hic, tu, hic",0.08
cicero.pro_q_roscio_comoedo,9.0,"utrum, ceterus, nomen, in, co-dico, accipio, et, expendo, digero, habeo, an, non., si, non, quo, modo, tabula, confacio, si, etiam, quam, ob, res, cum, ceterus, nomen, in, ordo, refero, hic, nomen, triennium, amplus, qui, sum, in, primus, magnus, in, aduersarius, relinquo, nolo, scio, debeo, tu, roscium, cur, scribo, rogo, sum, ne, refero, cur, in, aduersarius, scribo, habeo, sed, hic, quamquam, firmo, sum, uideo, tamen, ipse, ego, satis, facio, non, possum, nisi, ab, caius, fannio, ipse, testimonium, sumo, hic, pecunia, is, non, debeo, magnus, sum, qui, conor, difficilis, sum, qui, polliceor, nisi, idem, et, aduersarius, et, testo, habeo, roscius, nolo, uinco",100,"NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, 0.0, NaN, 0.5, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, 0.5, 0.0, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN",-0.02,-0.035,"hic, tu, hic, hic, pecunia",0.05
cicero.pro_q_roscio_comoedo,10.0,"pecunia, tu, debeo, certus, qui, nunc, peto, per, iudico, in, qui, legitimus, pars, sponsio, facio, sum, hic, tu, si, amplus, sestertius, nummus, peto, quam, tu, debeo, sum, causa, perdo, propterea, qui, alius, sum, iudicium, alius, sum, arbitrium, iudicium, sum, pecunia, certus, arbitrium, incertus, ad, iudicium, hic, modo, uenio, ut, totus, lito, aut, obtineo, aut, amitto, ad, arbitrium, hic, animus, adeo, ut, neque, nihil, neque, tantus, quantus, postulo, consequor, is, res, ipse, uerbum, formula, testimonium, sum",75,"0.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.5, NaN, 0.0, 0.5, NaN, -0.5, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, 0.0, NaN, NaN",0.033,-0.007,"pecunia, tu, hic, tu, nummus, tu, pecunia, hic, hic",0.12
