Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
cicero.orator,1.0,"utrum, difficilis, aut, magnus, sum, nego, tu, saepis, idem, rogo, an, efficio, is, qui, rogaris, diu, multus, brutus, dubito, nam, et, nego, is, qui, unicus, diligo, quisque, ego, carus, sum, sentio, praesertim, et, iustus, peto, et, praeclarus, cupio, durus, admodum, ego, uideo, et, suscipio, tantus, res, quantus, non, modo, facultas, consequor, difficilis, sum, sed, etiam, cogitatio, complector, uix, arbitror, sum, is, qui, uereor, reprehensio, doctor, atque, prudens",67,"NaN, -0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, 0.5, NaN, 1.0",0.015,-0.045,tu,0.015
cicero.orator,2.0,"quis, enim, sum, magnus, quam, cum, tantus, sum, inter, orator, bonus, dissimilitudo, iudicaris, qui, sum, bonus, species, et, quasi, figuro, dico, qui, quoniam, ego, saepis, rogo, aggredio, non, tam, perficio, spes, quam, experior, uoluntas, malus, enim, cum, studium, tuus, sum, obsequor, desidero, ab, tu, prudentia, meus, quam, si, is, non, facio, beneuolentia",52,"NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, -1.0, NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, 1.0",0.067,-0.019,tu,0.019
cicero.orator,3.0,"quaero, igitur, is, iam, saepis, qui, eloquentia, genus, probo, magnus, et, qualis, ego, uideo, ille, quo, nihil, addo, possum, qui, ego, superus, et, perficio, iudico, in, quo, uereor, ne, si, is, qui, uolo, efficio, is, orator, qui, quaero, exprimo, tardo, studium, multus, qui, desperatio, debilito, experior, is, nolo, qui, sui, assequor, possum, diffido",53,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",-0.009,-0.019,,0.0
cicero.orator,4.0,"sed, par, sum, omnis, omnis, experior, qui, res, magnus, et, magnus, opus, expeto, con-cupio, qui, si, qui, aut, natura, suus, aut, ille, praesto, ingenium, uolo, fors, deficio, aut, paruus, instruo, sum, magnaris, ars, disciplina, teneo, tamen, is, cursus, qui, possum, primus, enim, sequor, honestus, sum, in, secundus, tertius, consisto, nam, in, poeta, non, homerus, solus, locus, sum, ut, de, graecus, loquor, aut, archilocho, aut, sophocli, aut, pindaro, sed, hic, uel, secundus, uel, etiam, infra, secundus",75,"NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 1.0, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, -0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0",0.033,-0.007,"honestus, hic",0.027
cicero.orator,5.0,"neque, uerus, aristotelis, in, philosophia, deterreo, ab, scribo, amplitudo, platonis, neque, ipse, aristotelis, admirabilis, quidam, scientia, et, copia, ceterus, studium, restinguo, neque, solus, ab, bonus, studium, excello, uir, deterreo, non, sum, sed, ne, opifex, quidem, sui, ab, ars, suus, remoueo, qui, aut, ialysi, qui, rhodi, uideo, non, possum, aut, coae, uenio, pulchritudo, imitor, neque, simulacrum, io, olympii, aut, doryphori, statua, deterreo, reliquus, paruus, experior, sum, quis, efficio, aut, quo, progredior, possum, qui, tantus, multitudo, sum, tantus, in, suus, quisque, genus, laus, ut, cum, summus, miror, inferus, tamen, probo",88,"NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 1.0, NaN, 0.0, NaN, 0.5, 0.0, 0.5, NaN, NaN, -0.5, NaN, 1.0, 0.5, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.068,-0.006,,0.0
cicero.orator,6.0,"in, orator, uerus, graecus, quidem, admirabilis, sum, quantus, inter, omnis, unus, excello, atque, tamen, cum, sum, demosthenes, multus, orator, magnus, et, clarus, sum, et, antea, sum, neque, postea, deficio, qui, res, non, sum, cur, is, qui, sui, studium, eloquentia, dedo, spes, infringo, aut, languesco, industria, nam, neque, ille, ipse, qui, sum, bonus, despero, sum, et, in, praesto, res, magnus, sum, is, qui, sum, bonus, propior",65,"NaN, NaN, 0.5, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.5, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, 1.0, 0.0",0.085,0.0,,0.0
cicero.orator,7.0,"atque, ego, in, superus, orator, fingo, talis, informo, qualis, fortasse, nemo, sum, non, enim, quaero, quis, sum, sed, quis, sum, ille, quo, nihil, sum, possum, praesto, qui, in, perpetuitas, dico, non, saepe, atque, haud, scio, an, numquam, in, aliqui, autem, pars, eluceo, aliquando, idem, apud, alius, densus, apud, alius, fortasse, rarus",51,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",-0.01,-0.01,fingo,0.02
cicero.orator,8.0,"sed, ego, sic, statuo, nihil, sum, in, ullus, genus, tam, pulcher, quo, non, pulcher, is, sum, unde, ille, ut, ex, os, aliquis, quasi, imago, exprimo, qui, neque, oculus, neque, auris, neque, ullus, sentio, percipio, possum, cogitatio, tantus, et, mens, complector, itaque, et, phidiae, simulacrum, qui, nihil, in, ille, genus, perficio, uideo, et, is, pingo, qui, nomino, cogito, tamen, possum, pulcher, neque, uerus, ille, artifex, cum, facio, io, forma, aut, mineruae",70,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 1.0, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, 1.0, NaN, NaN",0.071,0.0,,0.0
cicero.orator,9.0,"contemplo, aliquis, e, quo, similitudo, duco, sed, ipse, in, mens, insideo, species, pulchritudo, eximius, quidam, quam, intueor, in, is, defigo, ad, ille, similitudo, ars, et, manus, dirigo, ut, igitur, in, forma, et, figura, sum, aliquis, perficio, et, excello, qui, ad, cogito, species, imito, refero, is, sub, oculus, ipse, non, cado, sic, perficio, eloquentia, species, animus, uideo, effigies, auris, quaero",59,"NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 1.0, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN",0.068,0.0,,0.0
cicero.orator,10.0,"hic, res, forma, appello, ἰδέας, ille, non, intellego, solus, sed, etiam, dico, grauis, auctor, et, magister, plato, eo, gigno, nego, et, aio, semper, sum, atque, ratio, et, intellego, contineo, ceterus, nascor, occaedes, fluo, labor, neque, diu, sum, unus, et, idem, status, quisquis, sum, igitur, de, quo, ratio, et, uia, disputo, is, sum, ad, ulter, suus, genus, forma, species, redigo",59,"NaN, 0.0, 1.0, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, -0.5, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, NaN, NaN",0.017,-0.025,hic,0.017
