Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
claudian.panegyricus_dictus_manlio_theodoro_consuli,1.0,"audeo, -ne, precor, tantus, subiectum, caterua, inter, tot, proceres, noster, thalia, loquor, neque, tu, fama, ueto, uerus, quam, celsus, augeo, uel, seruo, labor, uel, minuo, pudor, an, tu, continuus, cerno, fiducia, castrum, totus, iam, uates, pectus, miles, habeo, culmen, romanus, maiestas, senatus, et, qui, exultat, gallia, cerno, uir, omnis, audio, terra, mundus, per, auris, eo, ah, nimius, consul, urgeo, amor, iuppiter, ut, perhibeo, spatium, cum, disco, uolo, natura, regnum, nescius, ipse, suus, armiger, utrimque, duo, aequal, ala, mitto, ab, eous, occiduisque, plaga, parnasus, geminus, fero, iungo, uolo, confero, alterno, pythius, axis, aueo, princeps, non, aquilis, terra, cognosco, curo, certus, in, tu, aestimo, imperium, hic, ego, concilio, colligo, metior, orbis, hic, uideo, coitus, quisquis, ubique, mico, ipse, quidem, uirtus, pretium, sui, solo, latus",122,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, 1.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, 1.0, NaN, NaN, NaN",0.066,-0.008,"tu, pudor, tu, nimius, nescius, tu, hic, hic, pretium",0.074
claudian.panegyricus_dictus_manlio_theodoro_consuli,2.0,"fortuna, securus, niteo, neque, fascis, ullus",6,"0.0, 1.0, NaN, NaN, NaN, NaN",0.167,0.0,,0.0
claudian.panegyricus_dictus_manlio_theodoro_consuli,3.0,"erigo, plausuue, peto, claresco, uulgus",5,"NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
claudian.panegyricus_dictus_manlio_theodoro_consuli,4.0,"nihil, ops, externus, cupio, nihil, indigus, laus",7,"NaN, 0.0, 0.0, NaN, NaN, NaN, 1.0",0.143,0.0,,0.0
claudian.panegyricus_dictus_manlio_theodoro_consuli,5.0,"diuitiae, animosus, suus, immotus, cunctus",5,"0.5, NaN, NaN, NaN, 0.0",0.1,0.0,,0.0
claudian.panegyricus_dictus_manlio_theodoro_consuli,6.0,"casus, ex, altus, mortalia, despicio, arx",6,"0.0, NaN, 0.5, 0.0, NaN, NaN",0.083,0.0,,0.0
claudian.panegyricus_dictus_manlio_theodoro_consuli,7.0,"attamen, inuitus, blandus, uestigo, et, ultro",6,"NaN, -0.5, 0.5, NaN, NaN, NaN",0.0,-0.083,,0.0
claudian.panegyricus_dictus_manlio_theodoro_consuli,8.0,"amb-eo, honor, doceo, totiens, ab, rus, proficiscor",7,"NaN, 1.0, NaN, NaN, NaN, 0.0, NaN",0.143,0.0,,0.0
claudian.panegyricus_dictus_manlio_theodoro_consuli,9.0,"lictor, et, in, medius, consul, quaero, arater",7,"NaN, NaN, NaN, 0.0, 0.5, NaN, NaN",0.071,0.0,,0.0
claudian.panegyricus_dictus_manlio_theodoro_consuli,10.0,"tu, quoque, natura, sacrum, mundus, uaco",6,"NaN, NaN, 0.0, NaN, 1.0, NaN",0.167,0.0,tu,0.167
