Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
cicero.timaeus,1.0,"multus, sum, ab, nos, et, in, academicus, conscribo, contra, physicus, et, saepe, cum, publicus, nigidio, carneadeo, mos, et, modo, disputo, sum, enim, uir, ille, cum, ceterus, ars, qui, quidem, dignus, liber, sum, orno, omnis, tum, acer, inuestigator, et, diligo, is, res, qui, ab, natura, inuoluo, uideo, denique, sic, iudico, post, ille, nobilis, pythagoreos, qui, disciplina, ex-tingo, sum, quidam, modo, cum, aliquot, saeculum, in, italia, siciliaque, uigesco, hic, extitisse, qui, ille",70,"0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, 0.0, NaN, NaN, 1.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.05,0.0,hic,0.014
cicero.timaeus,2.0,"renouo, qui, cum, ego, in, ciliciam, proficisco, ephesus, expectauisset, roma, ex, legatio, ipse, decedo, uenio, idem, mytilenis, meus, saluto, et, uiso, causa, cratippus, peripateticorum, omnis, qui, quidem, ego, audio, meus, iudicium, facilis, princeps, perlibenter, et, nigidium, uideo, et, cognosco, cratippum, atque, primus, quidem, tempus, salutatio, in, percontatio, consumo",48,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, 0.5, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, 0.0, NaN, 0.0, NaN",0.042,0.0,,0.0
cicero.timaeus,3.0,"quis, sum, qui, semper, sum, neque, ullus, habeo, orior, et, qui, gigno, neque, umquam, sum, qui, alter, intellego, et, ratio, comprehendo, qui, unus, atque, idem, semper, sum, alter, qui, affero, opinio, sensus, ratio, expers, qui, totus, opinabilis, sum, is, gigno, et, intereo, neque, umquam, sum, uerus, possum, omnis, autem, qui, gigno, ex, aliqui, causa, gigno, necesse, sum, nullus, enim, res, causa, remoueo",62,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, 0.0, 0.0, NaN",0.016,0.0,,0.0
cicero.timaeus,4.0,"reperio, origo, possum, quocirca, si, is, qui, aliqui, munus, efficio, molio, is, species, qui, semper, idem, sum, intueor, atque, is, sui, propono, exemplar, praeclaris, opus, efficio, necesse, sum, sin, autem, is, qui, gigno, numquam, ille, quam, expeto, pulchritudo, consequor, omnis, igitur, caelum, siue, mundus, siue, quo, alius, uocabulum, gaudeo, hic, ab, nos, nuncupo",53,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, 0.5, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.066,0.0,hic,0.019
cicero.timaeus,5.0,"sum, de, quo, is, primus, considero, qui, principium, sum, in, omnis, quaestio, considero, semper, sum, nullus, genero, ortus, an, ortus, sum, ab, aliquis, tempus, principatus, ortus, sum, quandoquidem, cerno, et, tango, et, sum, undique, corporo, omnis, autem, talis, sensus, moueo, sentio, moueo, qui, sum, idem, in, opinatio, consido, qui, orior, habeo, gigno, dico, nihil, autem, gigno, possum, sine, causa",59,"NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0",0.017,0.0,,0.0
cicero.timaeus,6.0,"atque, ille, quidem, quasi, parens, hic, uniuersitas, inuenio, difficilis, et, cum, iam, inuenio, indico, in, uulgus, nefas, rursus, igitur, uideo, ille, fabricator, hic, tantus, opus, utrum, sum, imitor, exemplar, is, qui, semper, unus, et, idem, et, suus, similis, an, is, qui, genero, orior, dico, atqui, si, pulcher, sum, hic, mundus, et, si, probus, is, artifex, profecto, species, aeternitas, imitor, malo, sin, secus, qui, ne, dico, quidem, fas, sum, genero, exemplum, sum, pro, aeternus",73,"NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, 1.0, NaN, NaN, 1.0, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5",0.048,-0.021,"hic, nefas, hic, hic, probus",0.068
cicero.timaeus,7.0,"sequor, non, igitur, dubius, quin, aeternitas, malo, exsequor, quandoquidem, neque, mundus, quisquam, pulcher, neque, is, aedificator, praesto, sic, ergo, genero, ad, is, sum, efficio, qui, ratio, sapio, comprehendo, atque, aeternitas, inmutabilis, contineo, ex, quo, efficio, ut, sum, necesse, hic, qui, cerno, mundus, simulacrum, aeternus, sum, aliquis, aeternus, difficilis, autem, sum, in, omnis, conquisitio, ratio, exordium, de, is, igitur, qui, dico, hic",61,"NaN, NaN, NaN, -0.5, NaN, 0.5, NaN, NaN, NaN, NaN, 1.0, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 1.0, 0.0, 0.5, NaN, NaN, 0.5, -0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.066,-0.016,"hic, hic",0.033
cicero.timaeus,8.0,"sum, primus, distinctio, omnis, oratio, cum, is, res, de, qui, explico, uideo, sum, cognatio, itaque, cum, de, res, stabilis, et, inmutabilis, disputo, oratio, talis, sum, qualis, ille, qui, neque, redarguo, neque, conuinco, possum, cum, autem, ingredior, sum, imito, et, effingo, simulacrum, bene, ago, puto, si, similitudo, uerus, consequor, quantus, enim, ad, is, qui, orior, sum, aeternitas, ualeo, tantus, ad, fides, uereor, quocirca, si, fors, de, deus, natura, orior, mundus, dissero, paruus, is, qui, aueo, animus, consequor, ut, totus, dilucidus, et, planus, exorno, oratio, sui, consto, et, ex, omnis, pars, cum, sui, ipse, consentio, haud, sanus, sum, mirus, contendo, sum, debeo, si, probabilis, dico, aequus, sum, enim, memini, et, ego, qui, dissero, homo, sum, et, tu, qui, iudico, ut, si, probabilis, dico, ne, quis, ultra, requiro",125,"NaN, 0.5, NaN, NaN, -0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, 0.0, NaN, 0.0, 0.0, NaN, 1.0, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, 1.0, NaN, NaN, NaN, NaN, 0.5, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN",0.052,-0.012,"conuinco, tu",0.016
cicero.timaeus,9.0,"quaero, igitur, causa, qui, in-pello, is, qui, hic, machinor, sum, ut, origo, res, et, molitio, nouus, quaero, probitas, uidelicet, praesto, probus, autem, inuideo, nemo, itaque, omnis, suus, similis, genero, hic, nimirum, gigno, mundus, causa, iustus, nam, cum, constituo, deus, bonus, omnis, expleo, mundus, malus, nihil, admisceo, quoad, natura, pateo, quisquis, sum, qui, in, cerno, sensus, cado, is, sui, ad-sumo, non, tranquillus, et, quiesco, sed, immoderatus, agito, et, fluito, is, ex, inordinatus, in, ordo, adduco, hic, enim, iudico, sum",78,"NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 1.0, NaN, 1.0, NaN, NaN, 1.0, NaN, NaN, -0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 1.0, 0.0, 1.0, NaN, NaN, NaN, 0.0, 1.0, NaN, NaN, 1.0, -1.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN",0.071,-0.032,"hic, probus, hic, immoderatus, fluito, hic",0.077
cicero.timaeus,10.0,"praesto, fas, autem, neque, sum, neque, umquam, sum, quisquam, nisi, pulcher, facio, is, qui, sum, bonus, cum, ratio, igitur, habeo, reperio, nihil, sum, is, qui, natura, cerno, in-intellego, intellego, in, totus, genus, praesto, quocirca, intellegentia, in, animus, animus, includo, in, corpus, sic, reor, sum, opus, ille, efficio, sum, pulcher, quam, ob, causa, non, sum, cuncto, profiteor, si, modo, inuestigaris, aliquis, conicio, possum, hic, mundus, animal, sum, is, intellego, et, diuino, prouideo, constituo",72,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, 1.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 1.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.076,0.0,"hic, animal",0.028
