Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
cicero.pro_c_rabirio_post,1.1,"si, quis, sum, iudex, qui, caius, rabirium, qui, fortuna, suus, fundo, praesertim, atque, optume, constituo, ops, potestas, regia, libido, committo, reprehendo, puto, ascribo, ad, iudicium, suus, non, modo, meus, sed, hic, etiam, ipse, qui, committo, sententia, neque, enim, quisquam, is, consilium, uehemens, quam, ipse, displiceo, quamquam, hic, plerusque, facio, ut, consilium, euenio, pondero, et, qui, bene, quis, procedo, multus, ille, prouideo, qui, secus, nihil, sentio, dico, si, ex-sisto, in, rex, fides, nihil, sapio, postumus, quia, fallo, rex, nihil, hic, amens, dico, ut, iam, nihil, sum, uideo, nisi, diuinaris, sapio, sed, tamen",91,"NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.022,-0.016,"libido, hic, hic, fallo, hic, amens",0.066
cicero.pro_c_rabirio_post,1.2,"si, quis, sum, iudex, qui, ille, postumus, siue, inanis, spes, siue, inconsultus, ratio, siue, ut, grauis, uerbum, uto, temeritas, uitupero, puto, ego, is, opinio, non, repugno, ille, tamen, deprecor, ut, cum, ab, ipse, fortuna, crudelis, uideo, hic, consilium, sum, multo, ne, quis, ad, is, ruina, qui, hic, opprimo, sum, addo, acerbitas, puto, satis, sum, homo, imprudens, labor, non, erigo, urgeo, uerus, iaceo, aut, praecipito, impello, certus, sum, inhumanus, praesertim, iudex, cum, sum, hic, gener, homo, prope, natura, do, ut, si, qui, in, familia, laus, aliqui, fors, floreo, hic, fere, qui, sum, is, stirps, qui, sermo, homo, atque, memoria, pater, uirtus, celebro, cupidus, persequor, si, quidem, non, modo, in, gloria, res, militaris, paulus, scipio, atque, magnus, filius, sed, etiam, in, deuotio, uita, et, in, ipse, genus, mors, imitor, sum, publicus, decium, filius, sum, igitur, similis, iudex, paruus, magnus",137,"NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, -0.5, 0.0, NaN, NaN, -0.5, 0.0, NaN, -0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, -1.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, 0.5, NaN, 0.0, -0.5, -0.5, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, 1.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, 0.0, NaN, 1.0, 0.0, 1.0, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, 0.0, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, -1.0, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, 0.0, 0.5, 0.0, 0.0",0.011,-0.044,"inconsultus, temeritas, crudelis, hic, hic, acerbitas, iaceo, inhumanus, hic, hic",0.073
cicero.pro_c_rabirio_post,2.3,"sum, enim, puer, nos, hic, pater, caius, curtus, princeps, ordo, equester, fortis, et, magnus, publicanus, qui, in, negotium, gero, magnitudo, animus, non, tam, homo, probo, nisi, in, idem, benignitas, incredibilis, sum, ut, in, augeo, res, non, auaritia, praeda, sed, instrumentum, bonitas, quaero, uideo",43,"NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, 0.5, 0.5, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, -0.5, NaN, 0.0, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 1.0, -0.5, NaN, NaN, NaN, NaN, 0.0, NaN, -1.0, NaN, NaN, NaN, 1.0, NaN, NaN",0.047,-0.047,"hic, auaritia",0.047
cicero.pro_c_rabirio_post,2.4,"hic, ille, nascor, quamquam, pater, suus, numquam, uideo, tamen, et, natura, ipse, dux, qui, multus, ualeo, et, assiduus, domesticus, sermo, in, paternus, disciplina, similitudo, deduco, sum, multus, gero, multus, contraho, magnus, pars, habeo, publicus, credo, populus, in, multus, prouincia, is, uerso, res, sum, do, sui, etiam, rex, hic, ipse, alexandrinus, grandis, iam, antea, pecunia, credo, neque, interea, locupletaris, amicus, umquam, suus, desisto, mitto, in, negotium, do, pars, augeo, res, fides, sustentaris, quis, multus, cum, magnitudo, animus, tum, liberalitas, uita, pater, et, consuetudo, exprimo, pello, interea, regnum, ptolomaeus, dolosus, consilium, ut, dico, sibylla, sentio, postumus, roma, uenio, qui, egeo, et, rogo, hic, infelix, pecunia, credo, neque, tum, primus, nam, regno, credo, absum, neque, temere, sui, credo, puto, qui, sum, nemo, dubius, quin, is, in, regnum, restituo, ab, senatus, populo, romanus",129,"NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, 0.0, NaN, NaN, 0.5, 0.0, -0.5, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, NaN, 0.0, NaN, 0.0, 0.0, NaN, 0.0, NaN, 0.0, NaN, 0.0, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, 0.0, NaN, 0.0, 1.0, NaN, NaN, 0.0, NaN, 0.0, 0.5, NaN, 1.0, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, -0.5, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN",0.023,-0.023,"hic, hic, pecunia, hic, infelix, pecunia",0.047
cicero.pro_c_rabirio_post,2.5,"in, do, autem, et, credo, procedo, longus, neque, suus, solus, pecunia, credo, sed, etiam, amicus, stultus, quis, nego, aut, quis, iam, audeo, qui, malus, cado, bene, consulo, puto, sed, sum, difficilis, qui, cum, spes, magnus, sum, ingredior, is, non, exsequor, usque, ad, exter, supplex, sum, rex, multus, rogo, omnis, polliceo, ut, iam, metuo, postumus, cogo, ne, qui, credo, perdo, si, credo, constituo, modus, nihil, autem, sum, ille, blandus, nihil, hic, benignus, ut, magis, paeniteo, coepio, quam, licet, desisto",78,"NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, -0.5, 0.0, NaN, NaN, NaN, 1.0, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.006,-0.038,"pecunia, stultus, hic",0.038
cicero.pro_c_rabirio_post,3.6,"hinc, primus, exorior, crimen, ille, senatus, corrumpo, sum, dico, o, deus, immortalis, hic, sum, ille, exopto, iudicium, seueritas, corruptor, noster, causa, dico, nos, qui, corrumpo, sum, non, dico, quis, ergo, senatus, -ne, defendo, hic, locus, iudex, omnis, equidem, locus, debeo, ita, de, ego, sum, mereor, ille, ordo, sed, neque, is, ago, hic, tempus, neque, cum, postumus, causa, res, iste, coniungo, sum, quamquam, ad, sumo, iter, ad, ille, magnificentia, apparatus, comito, regius, suppedito, pecunia, ab, postumus, sum, facio, syngrapha, sum, in, albano, gnaeus, pompeius, cum, ille, roma, proficiscor, sum, tamen, non, debeo, is, qui, do, cur, ille, qui, accipio, tum, sumo, quaero, non, enim, latro, sed, rex, credo, neque, rex, inimicus, populus, romanus, sed, is, qui, redeo, consul, commendo, ab, senatus, uideo, neque, is, rex, qui, alienus, ab, hic, imperium, sum, sed, is, cum, qui, foedus, ferio, in, capitolium, uideo, qui, si, creditor, sum, in, culpa",145,"NaN, 0.5, NaN, -1.0, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, 0.5, NaN, -1.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 1.0, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, -1.0, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, -0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, -1.0",0.0,-0.038,"crimen, hic, seueritas, corruptor, hic, hic, pecunia, latro, hic, creditor, culpa",0.076
cicero.pro_c_rabirio_post,3.7,"non, is, qui, improbus, credo, pecunia, utor, sum, damno, is, qui, fabrico, gladius, sum, et, uendo, non, is, qui, ille, gladius, ciuis, aliquis, interimo, quam, ob, res, neque, tu, caius, memmi, hic, facio, debeo, ut, senatus, qui, auctoritas, tu, ab, adulescentia, dedo, in, tantus, infamia, uersaris, uelis, neque, ego, is, qui, non, ago, defendo, postumus, enim, causa, quicumque, sum, seiungo, ab, senatus, sum",63,"NaN, NaN, NaN, -1.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN",-0.008,-0.032,"improbus, pecunia, damno, uendo, tu, hic, tu, infamia",0.127
cicero.pro_c_rabirio_post,3.8,"qui, si, item, ab, gabinius, seiungo, ostendo, certus, qui, dico, nihil, habeo, sum, enim, hic, causa, quo, is, pecunia, peruenio, quasi, quidam, appendicula, causa, iudico, atque, damno, sum, lis, aestimo, aulus, gabinius, neque, prae-do, do, neque, ex, bonus, populus, uniuersus, lis, soluo, iubeo, lex, iulius, persequor, ab, is, ad, qui, is, pecunia, quam, is, capio, qui, damno, sum, peruenio, si, sum, hic, nouus, in, lex, iulius, sicut, multus, sum, seuerus, scribo, quam, in, antiquus, lex, et, sancio, induco, sanus, etiam, consuetudo, hic, genus, iudicium, nouo",85,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, 0.0, 0.0, -0.5, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, 0.0, 0.5, NaN",0.053,-0.012,"hic, pecunia, damno, pecunia, damno, hic, hic",0.082
cicero.pro_c_rabirio_post,4.9,"sin, hic, totidem, uerbum, transfero, caput, sum, quot, sum, non, modo, in, cornelius, sed, etiam, ante, in, lex, seruilis, per, deus, immortal, quis, ago, iudex, aut, qui, hic, mos, nouum, iudicium, in, res, publicus, induco, sum, enim, hic, consuetudo, nosco, tu, quidem, omnis, sed, si, utor, magister, sum, bonus, ego, debeo, sum, nosco, accuso, de, pecunia, repeto, iudex, sedeo, praetor, quaero, defendo, multus, nullus, pars, qui, aliqui, facultas, disco, affero, possum, ab, ego, asum, ita, contendo, nemo, umquam, quo, is, pecunia, peruenio, causa, dico, qui, in, aestimo, lis, appello, non, sum, in, lis, autem, nemo, appello, nisi, ex, testis, dictum, aut, tabula, priuator, aut, ratio, ciuitas",106,"NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, -0.5, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.5, NaN, 0.5, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, 0.5, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, -0.5, NaN, -0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, 0.5",0.028,-0.024,"hic, hic, hic, tu, pecunia, pecunia",0.057
cicero.pro_c_rabirio_post,4.1,"itaque, in, infero, lis, adsum, soleo, qui, aliquis, de, sui, uereor, et, cum, sum, appello, si, uideo, statim, contra, dico, soleo, sin, is, tempus, recens, inuidia, pertimeo, respondeo, postea, qui, cum, facio, permultus, saepe, uinco, hic, uerus, nouus, et, ante, hic, tempus, omnino, inaudio, in, lis, postumus, nomen, sum, nusquam, in, lis, dico, modo, tu, idem, in, aulus, gabinius, iudex, sedeo, num, quis, testis, postumus, appello, testis, autem, num, accusator, num, denique, totus, ille, in, iudicium, postumus, nomen, audio",79,"NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 1.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, -0.5, NaN, 0.0, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN",0.0,-0.032,"inuidia, hic, hic, tu",0.051
