Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
cicero.de_senectute,1.0,"o, tite, si, quis, ego, adeo, cura, leuasso, qui, nunc, tu, coquo, et, uerso, in, pectus, figo, ecquis, sum, praemium, licet, enim, ego, uersus, idem, affaris, tu, ad-taceo, qui, affor, flamininum, ille, uir, haud, magnus, cum, res, sed, plenus, fides, quamquam, certus, scio, non, ut, flamininum, sollicito, tu, tite, sic, nox, dies, nosco, enim, moderatio, animus, tuus, et, aequitas, tu, non, cognomen, solus, athenae, deporto, sed, humanitas, et, prudentia, intellego, et, tamen, tu, suspicor, idem, res, qui, ego, ipse, interdum, grauis, commoueo, qui, consolatio, et, magnus, sum, et, in, alius, tempus, differo, nunc, autem, uideo, sum, ego, de, senectus, aliquis, ad, tu, conscribo",103,"NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, 0.0, NaN, 0.0, 1.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.5, 0.5, 0.0, NaN, 0.5, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, 1.0, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN",0.039,-0.019,"tu, tu, tu, tu, tu, tu",0.058
cicero.de_senectute,2.0,"hic, enim, onus, qui, ego, communis, cum, tu, sum, aut, iam, urgeo, aut, certus, aduento, senectus, et, tu, et, ego, ipse, leuaris, uolo, etsi, tu, quidem, is, modicus, atque, sapienter, sicut, omnis, et, fero, et, fero, sum, certus, scio, sed, ego, cum, de, senectus, uolo, aliquis, scribo, tu, occurro, dignus, is, munus, quo, uterque, nos, communis, uto, ego, quidem, ita, iucundus, hic, liber, confectio, sum, ut, non, modo, omnis, abstergeo, senectus, molestia, sed, efficio, mollis, etiam, et, iucundus, senectus, numquam, igitur, laudo, satis, dignus, philosophia, possum, qui, qui, pareo, omnis, tempus, aetas, sine, molestia, possum, dego",96,"NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 1.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, -1.0, NaN, NaN, NaN, NaN, NaN, 1.0, 0.0, NaN, NaN, NaN, 0.5, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, -1.0, NaN, NaN",0.047,-0.021,"hic, tu, tu, tu, tu, hic",0.062
cicero.de_senectute,3.0,"sed, de, ceterus, et, dico, multus, et, saepe, dico, hic, liber, ad, tu, de, senectus, mitto, omnis, autem, sermo, tribuo, non, tithono, ut, aristo, cius, parum, enim, sum, auctoritas, in, fabula, sed, marcus, cato, senex, quo, magnus, auctoritas, habeo, oratio, apud, qui, laelium, et, scipio, facio, admiror, qui, is, tam, facilis, senectus, fero, is, is, respondeo, qui, si, erudio, uideo, disputaris, quam, con-suesco, ipse, in, suus, liber, attribuo, littera, graecus, qui, consto, is, perstudiosus, sum, in, senectus, sed, quis, opus, sum, multus, iam, enim, ipse, cato, sermo, explico, noster, omnis, de, senectus, sententia",93,"NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, 0.0, 0.0",0.005,-0.016,"hic, tu",0.022
cicero.de_senectute,4.0,"scipio, saepe, numerus, admiraris, soleo, cum, hic, caius, laelio, cum, ceteraris, res, tuus, excello, marcus, cato, perficio, sapientia, tum, uel, magnus, qui, numquam, tu, senectus, grauis, sum, sentio, qui, plerusque, senex, sic, odiosus, sum, ut, onus, sui, aetna, grauis, dico, sustineo, cato, res, haud, sanus, scipio, et, laelis, difficilis, admiraris, uideo, qui, enim, nihil, sum, in, ipse, ops, ad, bene, beatus, uiuo, is, omnis, aetas, grauis, sum, qui, autem, omnis, bonus, ab, sui, ipse, peto, is, nihil, possum, malus, uideo, qui, natura, necessitas, affero, quo, in, genus, sum, in, primus, senectus, quam, ut, adipiscantur, omnis, opto, idem, accuso, adeptam, tantus, sum, stultitia, inconstantia, atque, peruersitas, obrepo, aio, is, cieo, quam, puto, primus, quis, cogo, is, falsus, puto, qui, enim, cieo, adulescentia, senectus, quam, pueritia, adulescentia, obrepo, deinde, qui, paruus, grauis, sum, is, senectus, si, octingentesimum, annus, ago, quam, si, octogesimus, praetereo, enim, aetas, quiuis, longus, cum, effluo, nullus, consolatio, permulceo, possum, stultus, senectus",153,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, -0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, 0.0, NaN, 1.0, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 1.0, NaN, NaN, NaN, 0.0, -0.5, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, -0.5, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, 1.0, NaN, NaN, -1.0, 0.0",-0.003,-0.042,"hic, tu, stultitia, permulceo, stultus",0.033
cicero.de_senectute,5.0,"quocirca, si, sapientia, meus, admiraris, solo, qui, utinam, dignus, sum, opinio, uester, noster, cognomen, in, hic, sum, sapio, qui, natura, bonus, dux, tamquam, deus, sequor, is, paro, ab, qui, non, uerus, similis, sum, cum, ceterus, pars, aetas, bene, discribo, sum, exter, ago, tamquam, au, iners, poeta, sum, neglego, sed, tamen, necesse, sum, sum, aliquis, exter, et, tamquam, in, arbor, baca, terra, fructus, maturitas, tempestiuus, quasi, uietum, et, caducus, qui, fero, sum, mollis, sapio, quis, sum, enim, alius, gigantes, modo, bellaris, cum, deus, nisi, natura, repugnaris",85,"NaN, NaN, 1.0, 0.0, NaN, NaN, NaN, NaN, 1.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, NaN, 0.0, 0.0, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN",0.053,0.0,"hic, iners, gigantes",0.035
cicero.de_senectute,6.0,"laelius, atqui, cato, gratus, nos, ut, etiam, pro, scipio, polliceo, facio, si, quoniam, spero, uolo, quidem, certus, senex, fio, multus, ante, ab, tu, disco, qui, facilis, ratio, ingrauesco, aetas, fero, possum, cato, facio, uerus, laelis, praesertim, si, uterque, uester, ut, dico, gratus, sum, sum, laelius, uolo, sanus, nisi, molestus, sum, cato, tamquam, longus, aliqui, uia, confacio, quam, nos, quoque, ingredior, sum, iste, quo, peruenio, uideo, qualis, sum",67,"NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, 1.0, NaN, -1.0, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.052,-0.015,tu,0.015
cicero.de_senectute,7.0,"cato, facio, ut, possum, laelis, saepe, enim, intersum, querela, aequalis, meus, par, autem, ueto, prouerbium, cum, par, facilis, congrego, qui, caius, salinator, qui, sp., albinus, homo, consularis, noster, fere, aequal, deploraris, soleo, tum, qui, uoluptas, careo, sine, qui, uita, nullus, puto, tum, qui, sperno, ab, is, ab, qui, sum, colo, soleo, qui, ego, non, is, uideo, accuso, qui, sum, accuso, nam, si, is, culpa, senectus, accido, idem, ego, usus, uenio, reliquus, omnis, magnus, natus, qui, ego, multus, cognosco, senectus, sine, querela, qui, sui, et, libido, uinculis, laxo, sum, non, molestus, fero, neque, ab, suus, despicio, sed, omnis, iste, modus, querellaris, in, mos, sum, culpa, non, in, aetas, moderor, enim, et, neque, difficilis, neque, inhumanus, senex, tolerabilis, senectus, ago, importunitas, autem, et, inhumanitas, omnis, aetas, molestus, sum",126,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, 0.5, 0.0, 0.5, NaN, NaN, 0.0, NaN, 0.5, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, 0.0, NaN, NaN, 0.0, NaN, 0.0, NaN, -0.5, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.5, NaN, -1.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, -0.5, NaN, 0.0, 0.0, 0.5, 0.0, NaN, -1.0, NaN, NaN, 0.0, NaN, 0.0, -1.0, NaN",-0.016,-0.056,"culpa, libido, culpa, inhumanus, importunitas",0.04
cicero.de_senectute,8.0,"laelius, sum, ut, dico, cato, sed, fortasse, dico, quispiam, tu, propter, ops, et, copia, et, dignitas, tuus, tolerabilis, senectus, uideo, is, autem, non, possum, multus, contingo, cato, sum, iste, quidem, laelis, aliquis, sed, nequaquam, in, iste, sum, omnis, ut, themistocles, fero, seriphio, quidam, in, iurgium, respondeo, cum, ille, dico, non, is, suus, sed, patria, gloria, splendor, assecutum, neque, herculis, inquam, si, ego, seriphius, sum, neque, tu, si, atheniensis, clarus, umquam, sum, qui, idem, modo, de, senectus, dico, possum, neque, enim, in, summus, inopia, leuis, sum, senectus, possum, ne, sapio, quidem, neque, insipiens, etiam, in, summus, copia, non, grauis",98,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, 1.0, 0.0, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, 0.5, NaN, -0.5",0.005,-0.036,"tu, tu, insipiens",0.031
cicero.de_senectute,9.0,"aptus, omnino, sum, scipio, et, laelis, arma, senectus, ars, exercitatio, uirtus, qui, in, omnis, aetas, colo, cum, diu, multus, uiuo, mirificus, ecferunt, fructus, non, solus, quia, numquam, desero, ne, exter, quidem, tempus, aetas, quamquam, is, quidem, magnus, sum, uerus, etiam, quia, conscientia, bene, ago, uita, multi, bene, factor, recordatio, iucundus, sum",51,"NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, 0.0, NaN, 1.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, -0.5, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, 0.0, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, 1.0, NaN",0.049,-0.01,conscientia,0.02
cicero.de_senectute,10.0,"ego, quintus, magnus, is, qui, tarentum, recipio, senex, adulescens, ita, diligo, ut, aequalis, sum, enim, in, ille, uir, comitas, condio, grauitas, neque, senectus, mos, muto, quamquam, is, colo, coepio, non, admodum, grandis, natus, sed, tamen, iam, aetas, proueho, annus, enim, post, consul, primus, sum, quam, ego, nascor, sum, cum, is, quartus, consul, adulescentulus, miles, ad, capua, proficiscor, sum, quintus, annus, post, ad, tarentum, quaestor, deinde, quadriennium, post, facio, sum, qui, magistratus, gero, consul, tuditano, et, cethegus, cum, quidem, ille, admodum, senex, suasor, lex, cinciae, de, donum, et, munus, sum, hic, et, bellum, gero, ut, adulescens, cum, planus, grandis, sum, et, hannibal, iuuenilis, exsulto, patientia, suus, mollio, de, quo, praeclaris, familiaris, noster, ennius, unus, homo, nos, cuncto, restituo, res, noenum, rumor, pono, ante, salus, ergo, multus, magus, uir, nunc, gloria, claro",130,"NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.5, 1.0, NaN, -0.5, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, 0.5, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 1.0, NaN, 0.0, NaN, 0.5, NaN, 0.0, NaN",0.062,-0.004,"adulescens, hic, adulescens, iuuenilis",0.031
