Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
cicero.de_domo_sua,1.0,"cum, multus, diuinitus, pontifex, ab, magnus, noster, inuenio, atque, institutum, sum, tum, nihil, praeclarus, quam, qui, idem, et, religio, deus, immortalis, et, summa, res, publicus, praesum, uolo, ut, amplus, et, clarus, ciuis, res, publicus, bene, gero, religio, religio, sapienter, interpretor, res, publicus, conseruo, qui, si, ullus, tempus, magnus, causa, in, sacerdos, populus, romanus, iudicium, atque, potestas, uerso, sum, hic, profecto, tantus, sum, ut, omnis, res, publicus, dignitas, omnis, ciuis, salus, uito, libertas, ara, focus, deus, penates, bonus, fortuna, domicilium, uester, sapientia, fides, potestas, committo, credo, sum, uideo",87,"NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, 0.0, 0.5, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, 0.0, NaN, 0.5, 0.5, 0.0, 0.0, NaN, NaN, 1.0, 1.0, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, 0.0, 0.0, 0.0, NaN, NaN, 0.0, NaN, 0.5, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, 1.0, NaN, 0.5, 1.0, NaN, 0.5, NaN, 0.0, 0.0, NaN, 1.0, 0.0, NaN, NaN, 1.0, 1.0, 0.5, NaN, NaN, NaN, NaN",0.138,0.0,hic,0.011
cicero.de_domo_sua,2.0,"tu, hodiernus, dies, constituo, sum, utrum, posthac, amens, atque, perdo, magistratus, improbus, atque, scelero, ciuis, praesidium, nudaris, an, etiam, deus, immortalis, religio, armaris, malo, nam, si, ille, labo, atque, flamma, res, publicus, suus, ille, pestifer, et, funestus, tribunatus, qui, aequitas, humanus, tueor, non, possum, diuino, religio, defendo, alius, caerimonia, nos, sum, alius, antistes, deus, immortalis, alius, interpres, religio, requiro, sin, autem, uester, auctoritas, sapio, pontifex, is, qui, furor, improbus, in, res, publicus, ab, alius, opprimo, ab, alius, desero, ab, alius, prodeo, gero, sum, rescindo, sum, causa, cur, consilium, magnus, in, amplus, uis, ad, sacerdotium, deligo, ius, atque, mereo, laudo, possum",100,"NaN, NaN, 0.0, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, 0.5, -1.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, 0.5, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, -1.0, NaN, -1.0, 0.0, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, 0.5, NaN, NaN, NaN, 0.5, 0.0, 0.5, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, -1.0, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, 0.0, NaN, 0.0, 1.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN",0.025,-0.06,"tu, amens, improbus, scelero, pestifer, funestus, furor, improbus",0.08
cicero.de_domo_sua,3.0,"sed, quoniam, ille, demens, si, is, qui, per, hic, dies, ego, in, senatus, de, res, publicus, sentio, uitupero, aliquis, sui, aditus, ad, auris, uester, sum, habeo, puto, omitto, ordo, dico, meus, respondeo, homo, furiosus, non, oratio, qui, ille, uti, non, possum, sed, conuicior, qui, exercitatio, cum, intolerabilis, petulantia, tum, etiam, diuturnus, impunitas, muniuit.ac, primus, ille, ab, tu, homo, uesanus, atque, furiosus, requiro, qui, tu, tantus, poena, tuus, scelus, flagitium, uexo, ut, hic, talis, uir, qui, non, solus, consilium, suus, sed, etiam, species, ipse, dignitas, res, publicus, sustineo, qui, ego, in, sententia, dico, salus, ciuis, cum, honor, gnaeus, pompeius, coniungo, ego, sum, irascor, et, alius, de, summus, religio, hic, tempus, sentio, atque, ego, absum, sentio, arbitror",115,"NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, 0.0, -1.0, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, -0.5, NaN, NaN, 0.5, -0.5, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, -1.0, 0.0, -1.0, -1.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, -0.5, 0.5, NaN, NaN, NaN, NaN, NaN, 1.0, 0.0, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, 1.0, 0.5, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN",-0.009,-0.074,"demens, hic, furiosus, intolerabilis, petulantia, impunitas, tu, uesanus, furiosus, tu, poena, scelus, flagitium, uexo, hic, hic",0.139
cicero.de_domo_sua,4.0,"sum, inquam, tum, apud, pontifex, superus, sed, iam, quoniam, tu, ad, populus, confero, sum, inferus, necesse, sum, ita, -ne, uerus, qui, in, imperitus, multitudo, sum, uitiosus, uarietas, et, inconstantia, et, creber, tamquam, tempestas, sic, sententiaris, commutatio, hic, tu, ad, hic, transfero, qui, ab, inconstantia, grauitas, ab, libidinosus, sententia, certus, et, definio, ius, religio, uetustus, exemplum, auctoritas, litteraris, monumentum, deterreo, tu, -ne, sum, ille, inquam, quo, senatus, careo, non, possum, qui, bonus, luceo, qui, res, publicus, desidero, quo, restituo, senatus, auctoritas, restituo, puto, quam, primus, aduenio, prodo, nondum, de, meus, sententia, dico, impudentia, primus, respondeo, tuus",95,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, -0.5, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, -1.0, 0.0, 0.5, NaN, NaN, 0.5, 1.0, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, -1.0, 0.5, NaN, 0.0",0.026,-0.032,"tu, imperitus, hic, tu, hic, libidinosus, tu",0.074
cicero.de_domo_sua,5.0,"hic, igitur, funestus, res, publicus, pestis, hic, tu, ciuis, ferrum, et, arma, et, exercitus, terror, et, consul, scelus, et, audax, homo, minae, seruus, delectus, obsessio, templum, occupatio, forum, oppressio, curia, domus, et, patria, ne, cum, improbus, bonus, ferrum, dimico, cedo, cogo, qui, ab, senatus, qui, ab, bonus, omnis, qui, ab, cunctus, italia, desidero, arcesso, reuoco, conseruo, res, publicus, causa, confiteor, at, enim, in, senatus, uenio, in, capitolium, turbulentus, ille, dies, non, debeo",72,"NaN, NaN, -1.0, 0.0, 0.0, -1.0, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, 0.0, -1.0, NaN, 0.5, -1.0, NaN, NaN, 0.0, -0.5, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, 0.0, NaN, NaN, NaN, NaN, -1.0, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 1.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN",-0.042,-0.097,"hic, funestus, pestis, hic, tu, scelus, audax, improbus, turbulentus",0.125
cicero.de_domo_sua,6.0,"ego, uerus, neque, uenio, et, domus, ego, tenuis, quam, diu, turbulentus, tempus, sum, cum, seruus, tuus, ab, tu, iam, pridem, ad, bonus, caedes, paro, cum, ille, tuus, conscelerator, atque, perdo, manus, armatus, in, capitolium, cum, tu, uenio, consto, qui, cum, ego, nuntio, scio, ego, domus, maneo, et, tu, et, gladiator, tuus, instauro, caedes, potestas, non, facio, postea, quam, ego, nuntio, sum, populus, romanus, in, capitolium, propter, metus, atque, inopia, res, frumentarius, conuenio, minister, autem, scelus, tuus, perterreo, pars, amitto, gladius, pars, eripio, diffugio, uenio, non, solus, sine, ullus, copia, atque, manus, uerus, etiam, cum, paucus, amicus",96,"NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, -0.5, 0.0, NaN, NaN, NaN, NaN, NaN, 1.0, -0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, -0.5, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, -1.0, NaN, -1.0, 0.0, 0.5, NaN, 0.0, NaN, -1.0, 0.0, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, 0.5, NaN, 0.0, 0.5, NaN, NaN, 0.0, 1.0",-0.005,-0.052,"turbulentus, tu, caedes, tu, tu, caedes, scelus",0.073
cicero.de_domo_sua,7.0,"an, ego, cum, publicus, lentulus, consul, optume, de, ego, atque, de, res, publicus, mereor, cum, quintus, metellus, qui, cum, meus, inimicus, sum, frater, tuus, et, dissensio, noster, et, prex, tuus, salus, atque, dignitas, meus, praefero, ego, arcesso, in, senatus, cum, tantus, multitudo, ciuis, tam, recens, officium, suus, ego, ad, refero, gratia, nominatim, uoco, non, uenio, cum, praesertim, tu, iam, illinc, cum, tuus, fugitiuus, manus, discedo, consto, hic, tu, ego, etiam, custos, defensor, capitoli, templum, omnis, hostis, capitolinum, appello, audeo, sum, qui, cum, in, capitolium, senatus, duo, consul, habeo, is, uenio, utrum, sum, tempus, aliqui, quo, in, senatus, uenio, turpis, sum, an, is, res, sum, ille, de, qui, ago, ut, res, ipse, repudiaris, et, is, qui, ago, condemnaris, debeo",118,"NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, -1.0, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, 0.0, 0.0, 1.0, NaN, 1.0, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, 0.5, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, -1.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.03,-0.025,"tu, fugitiuus, hic, tu, turpis",0.042
cicero.de_domo_sua,8.0,"primus, dico, senator, sum, bonus, semper, in, senatus, uenio, neque, cum, hic, sentio, qui, statuo, paruus, bonus, tempus, in, senatus, ipse, non, uenio, non, intellego, hic, suus, nimius, perseuerantia, uehemens, is, qui, animus, offendo, uolo, et, gratus, et, iucundus, sum, at, enim, non, nullus, propter, timor, qui, sui, in, senatus, tueor, non, sum, arbitror, discedo, non, reprehendo, neque, quaero, sum, aliquis, pertimesco, puto, suus, quisque, arbitratus, timeo, oportet, cur, ego, non, timeo, quaero, quia, tu, illinc, abeo, consto, cur, cum, uir, bonus, non, nullus, puto, tueor, sui, in, senatus, sum, non, possum, ego, non, idem, sentio, cur, cum, ego, ego, existimo, tueor, omnino, in, ciuitas, sum, non, possum, ille, remaneo, an, alius, licet, et, rectus, licet, in, meus, metus, sui, nihil, timeo, ego, unus, necesse, sum, et, meus, et, alius, uicis, pertimesco",132,"0.5, NaN, NaN, NaN, 1.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 1.0, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, 0.0, -1.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN",0.068,-0.011,"hic, hic, nimius, tu",0.03
cicero.de_domo_sua,9.0,"an, quia, non, condemno, sententia, meus, duo, consul, sum, reprehendo, is, igitur, ego, potis, damnaris, debeo, qui, lex, perficio, sum, ne, ego, indemnatus, atque, optume, de, res, publicus, mereor, damno, poena, sustineo, qui, etiam, delictum, propter, is, egregius, in, ego, conseruo, uoluntas, non, modo, ego, sed, omnis, bonus, fero, oportet, is, bonus, consilium, ego, potis, per, is, in, meus, pristinus, dignitas, restituo, meus, consilium, repudiaris, at, quam, sententia, dico, primus, is, quam, populus, sermo, in, animus, noster, iam, ante, defigo, deinde, is, qui, sum, superus, dies, agito, in, senatus, denique, is, quam, senatus, frequens, tum, cum, ego, sum, assensus, sequor, sum, ut, neque, affero, sum, ab, ego, res, inopinor, atque, recens, neque, si, qui, in, sententia, uitium, sum, magnus, sum, is, qui, dico, quam, omnis, qui, probo",127,"NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, -1.0, NaN, NaN, NaN, -1.0, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, 1.0, 0.5, NaN, 0.0, NaN, NaN, NaN, 0.0, 0.0, 1.0, NaN, 0.0, 0.5, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, 0.0, -0.5, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, -1.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.028,-0.028,"damnaris, indemnatus, damno, poena, delictum",0.039
cicero.de_domo_sua,10.0,"at, enim, liber, senatus, iudicium, propter, metus, non, sum, si, timeo, is, facio, qui, discedo, concedo, non, timeo, is, qui, remaneo, sin, autem, sine, is, qui, tum, a-sum, nihil, decerno, libo, possum, cum, omnis, adsum, coepio, sum, refero, de, induco, senatus, consultum, ab, uniuersus, senatus, reclamo, sum, sed, quaero, in, ipse, sententia, quoniam, princeps, ego, sum, is, atque, auctor, quis, re-prehendo, utrum, causa, nosco, consilium, capio, non, sum, an, meus, pars, in, is, causa, non, praecipuus, sum, an, alius, potis, confugio, sum, nos, qui, causa, magnus, quam, fames, sum, possum, quam, seditio, quam, consilium, tuus, tuus, qui, facultas, offertor, ad, imperitor, animus, incito, renouo, tu, tuus, ille, funestus, latrocinium, ob, annona, causa, puto",113,"NaN, NaN, 0.5, 0.5, 0.5, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, 0.5, 0.0, 0.0, NaN, 0.5, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, -1.0, NaN, NaN, NaN, 0.0, NaN",0.022,-0.022,"seditio, tu, funestus, latrocinium",0.035
