Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
pseudo_cicero.in_sallustium,1.0,"is, demum, magnus, uoluptas, sum, caius, sallusti, aequalis, atque, par, uerbum, uita, ago, neque, quisquam, tam, obscaenum, dico, qui, non, ab, initium, pueritia, omnis, genus, facinus, aetas, tuus, respondeo, ut, omnis, oratio, mos, consono, neque, enim, qui, ita, uiuo, ut, tu, aliter, atque, tu, loquor, possum, neque, qui, tam, inloto, sermo, uto, uito, honestus, sum, quo, ego, praeuerto, pater, conscribo, unde, initium, sumo, magnus, enim, ego, dico, onus, impono, quo, nosco, sum, uterque, nos, qui, aut, si, de, meus, uito, atque, actus, hic, conuiciator, respondeo, inuidia, gloria, consequor, aut, si, hic, facio, mos, omnis, aetas, nudo, in, idem, uitium, incido, procacitas, qui, hic, obicio, is, tu, si, fors, offendo, iustus, hic, quam, insula, succenseo, debeo, qui, initium, introduco",118,"NaN, NaN, 0.0, 1.0, NaN, NaN, NaN, 0.5, NaN, 0.5, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, -1.0, 0.0, 0.0, NaN, NaN, NaN, -0.5, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, -1.0, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.0,-0.042,"facinus, tu, tu, honestus, hic, inuidia, hic, hic, tu, hic",0.085
pseudo_cicero.in_sallustium,2.0,"ego, do, opera, ut, et, pro, ego, paruus, cum, fastidium, respondeo, et, in, hic, paruus, mentior, sum, uideo, scio, ego, pater, conscribo, in, respondeo, non, habeo, magnus, exspectatio, qui, nullus, tu, scio, nouus, crimen, in, sallustium, audio, sed, omnis, uetero, recognosco, quis, et, meus, et, uester, iam, et, ipse, auris, caleo, uerus, is, magis, odi, debeo, homo, qui, ne, incipio, quidem, peccaris, paruus, res, pono, rudimentum, sed, ita, ingredior, sum, ut, neque, ab, alius, uinco, possum, neque, ipse, sui, omnino, reliquus, aetas, praetereo",83,"NaN, NaN, -0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, 1.0, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN",0.0,-0.018,"hic, tu, crimen",0.036
pseudo_cicero.in_sallustium,3.0,"itaque, nihil, alius, studeo, nisi, ut, lutulentus, cum, quouis, uolutaris, longus, uerus, fallo, opinio, non, enim, procacitas, lingua, uita, sordeo, eluo, sed, sum, quidam, calumnia, quam, unus, quisque, nos, testo, animus, suus, fero, qui, si, uito, iste, memoria, uinco, ille, pater, conscribo, non, ex, oratio, sed, ex, mos, suus, specto, debeo, iam, do, opera, quam, magnus, possum, breuis, ut, is, facio, neque, hic, altercatio, noster, tu, inutilis, sum, pater, conscribo, plerusque, enim, res, publicus, priuo, cresco, inimicitia, ubi, nemo, ciuis, qualis, sum, uir, possum, lateo",85,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, 0.0, NaN, NaN, -1.0, -0.5, 0.0, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, 0.0, NaN, NaN, NaN, -0.5, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, 0.0, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, -1.0, NaN, -0.5, 0.5, NaN, NaN, 0.5, NaN, NaN",-0.029,-0.071,"fallo, sordeo, hic, tu, inutilis",0.059
pseudo_cicero.in_sallustium,4.0,"primus, igitur, quoniam, omnis, magnus, caius, sallustius, ad, unus, exemplum, et, regula, quaero, uolo, ego, respondeo, num, quis, hic, qui, profero, scipio, et, metellos, ante, sum, aut, opinions, aut, gloria, quam, is, res, suus, gero, et, uito, innocens, ago, commendo, qui, si, hic, sum, ille, initium, nomen, et, dignitas, cur, non, aequus, de, nos, existimo, qui, et, res, gero, illustris, et, uito, integer, ago, quasi, uerus, tu, sum, ab, ille, sallusti, ortus, qui, si, sum, non, nullus, iam, tuus, turpitudo, pigeo",81,"0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 1.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, -1.0, NaN",0.031,-0.012,"hic, innocens, hic, tu, turpitudo",0.062
pseudo_cicero.in_sallustium,5.0,"ego, meus, magnus, uirtus, meus, praeluceo, ut, si, prior, nosco, non, sum, ab, ego, accipio, initium, memoria, suus, tu, tuus, uito, quam, turpis, ago, magnus, offundo, tenebrae, ut, etiam, si, sum, egregius, ciuis, certus, uenio, in, obliuio, qui, res, nolo, ego, antiqui, uir, obiectaris, sero, sum, enim, ego, meus, res, gero, floreo, quam, magnus, opinio, nitor, et, ita, uiuo, ut, sum, posterus, meus, nobilitas, initium, et, uirtus, exemplum",68,"NaN, 0.0, 0.0, 1.0, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, 0.0, NaN, NaN, -1.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, 0.5, NaN, NaN, -0.5, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, 0.0, 0.0, 1.0, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, 1.0, NaN, NaN, 1.0, 0.0",0.081,-0.022,"tu, turpis",0.029
pseudo_cicero.in_sallustium,6.0,"neque, ego, cum, is, confero, decet, pater, conscribo, qui, iam, decedo, omne, odium, careo, et, inuidia, sed, cum, is, qui, cum, ego, unus, in, res, publicus, uerso, sum, sed, sum, aut, in, honor, peto, nimis, ambitiosus, non, hic, dico, popularis, ambitio, qui, ego, princeps, confiteor, sed, ille, perniciosus, contra, lex, qui, primus, ordo, sallustius, duco, aut, in, gero, magistratus, aut, in, uindico, maleficium, tam, seuerus, aut, in, tueor, res, publicus, tam, uigilo, quam, tu, proscriptio, uoco, credo, qui, non, omnis, tuus, similis, incolumis, in, urbs, uiuo, at, quantus, bonus, locus, res, publicus, sto, si, tu, par, atque, similis, scelestor, ciuis, unus, cum, ille, ad-numero, sum",105,"NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, -0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, -1.0, NaN, 0.5, NaN, 0.5, 0.5, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, -0.5, NaN, 0.5, NaN, NaN, NaN, 1.0, 0.0, 0.0, 0.0, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN",0.01,-0.048,"inuidia, ambitiosus, hic, popularis, ambitio, perniciosus, maleficium, tu, proscriptio, tu",0.095
pseudo_cicero.in_sallustium,7.0,"an, ego, tunc, fallo, scribo, cedo, arma, toga, qui, togatus, armatus, et, pax, bellum, opprimo, an, ille, mentior, sum, fortunata, ego, consul, roma, qui, tantus, intestinus, bellum, atque, domesticus, urbs, incendium, exstinguo, neque, tu, tuus, pigeo, homo, leuis, cum, is, culpo, qui, historia, ego, gloria, dux, an, turpis, sum, scribo, mentior, quam, uel, palam, hic, ordo, dico, nam, qui, in, aetas, increpo, tantus, ego, absum, puto, ab, impudicitia, quantus, tu, ab, pudicitia",72,"NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, 0.0, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, 0.5",0.014,-0.028,"fallo, exstinguo, tu, turpis, hic, increpo, impudicitia, tu, pudicitia",0.125
pseudo_cicero.in_sallustium,8.0,"sed, quis, ego, de, tu, multus, queror, quis, enim, mentior, turpis, dux, qui, ego, audeo, sum, eloquentia, ut, uitium, obicio, qui, semper, noceo, egeo, patrocinium, an, ullus, existimo, possum, fio, ciuis, egregius, qui, non, hic, ars, et, disciplina, sum, erudio, an, ullus, alius, puto, sum, rudimentum, et, incunabula, uirtus, qui, animus, ad, gloria, cupiditas, alo, sed, paruus, mirus, sum, pater, conscribo, si, homo, qui, desidia, atque, luxuria, plenus, sum, hic, ut, nouo, atque, inusitatus, miro",75,"NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, -1.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 1.0, NaN, 0.5, NaN, 0.0, -0.5, NaN, NaN, 0.0, 1.0, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, -0.5, 0.0, NaN, NaN, NaN, NaN, NaN, -0.5, NaN",0.007,-0.047,"tu, turpis, noceo, hic, luxuria, hic",0.08
pseudo_cicero.in_sallustium,9.0,"nam, qui, iste, inusitatus, rabies, petulanter, in, uxor, et, in, filia, meus, inuado, qui, facilis, mulier, sui, ab, uis, abstineo, quam, tu, uir, ab, uis, satis, doceo, atque, pereo, facio, non, enim, ego, spero, mutuus, tu, gratia, refero, ut, uicissim, tuus, compellaris, unus, enim, satis, sum, materia, habeo, neque, quisquam, domus, tuus, turpis, sum, quam, tu, multus, uerus, tu, opinor, fallo, qui, ego, paro, puto, inuidia, ex, meus, res, familiaris, qui, ego, multus, paruus, sum, quam, habeo, dignus, sum, atque, utinam, ne, tantus, quidem, sum, quantus, sum, ut, potis, amicus, meus, uiuo, quam, ego, testamentum, is, locupletior, sum",98,"NaN, NaN, NaN, -0.5, -1.0, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, 0.0, NaN, NaN, 1.0, NaN, NaN, NaN, 0.5, NaN, 1.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 1.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, 0.0, 0.0, -1.0, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, 0.0, 0.0, 1.0, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.051,-0.036,"rabies, petulanter, uxor, mulier, tu, tu, turpis, tu, tu, fallo, inuidia",0.112
pseudo_cicero.in_sallustium,10.0,"ego, fugax, caius, sallusti, furor, tribunus, plebs, cedo, utilis, duco, quiuis, fortuna, unus, experior, quam, uniuersus, populus, romanus, ciuilis, sum, dissensio, causa, qui, postea, quam, ille, suus, annus, in, res, publicus, perbacchor, sum, omne, qui, commoueo, pax, et, odium, re-sedeo, hic, ordo, reuoco, atque, ipse, res, publicus, manus, retraho, ego, reuorto, qui, ego, dies, si, cum, omnis, reliquus, uito, confero, animus, quidem, meus, supero, cum, uniuersus, tu, populus, romanus, frequens, aduenio, meus, gratulor, sum, tantus, ego, fugax, mercenarius, patronus, hic, aestimo",81,"NaN, NaN, NaN, NaN, -1.0, -0.5, 0.0, NaN, 1.0, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, 0.0, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, -1.0, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.006,-0.031,"fugax, furor, hic, tu, fugax, hic",0.074
