Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
ovid.remedia_amoris,1.0,"lego, hic, amor, titulis, nomen, libellus",6,"NaN, NaN, 1.0, NaN, 0.0, 0.0",0.167,0.0,hic,0.167
ovid.remedia_amoris,2.0,"bellum, ego, uideo, bellum, paro, aio",6,"0.0, NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
ovid.remedia_amoris,3.0,"parco, tuus, uates, scelus, damnaris, cupido",6,"NaN, 0.0, NaN, -1.0, NaN, -0.5",-0.25,-0.25,"scelus, damnaris",0.333
ovid.remedia_amoris,4.0,"trado, qui, totiens, tu, dux, signum, fero",7,"NaN, NaN, NaN, NaN, 0.5, 0.0, NaN",0.071,0.0,tu,0.143
ovid.remedia_amoris,5.0,"non, ego, tydides, ab, quo, tuus, saucius, mater",8,"NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0",0.0,0.0,,0.0
ovid.remedia_amoris,6.0,"in, liquidus, redeo, aether, mars, equus",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ovid.remedia_amoris,7.0,"saepe, tepeo, alius, iuuenis, ego, semper, amo",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ovid.remedia_amoris,8.0,"et, si, quis, facio, nunc, quoque, quaero, amo",8,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ovid.remedia_amoris,9.0,"quin, etiam, doceo, qui, possum, ars, paro",7,"NaN, NaN, NaN, NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
ovid.remedia_amoris,10.0,"et, qui, nunc, ratio, sum, impetus, ante, sum",8,"NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
ovid.remedia_amoris,11.0,"neque, tu, blandus, puer, neque, noster, prodeo, ars",8,"NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, 0.0",0.062,0.0,tu,0.125
ovid.remedia_amoris,12.0,"neque, nouo, praetereo, musa, retego, opus",6,"NaN, NaN, NaN, NaN, NaN, 0.5",0.083,0.0,,0.0
ovid.remedia_amoris,13.0,"siquis, amo, qui, amo, iuuo, feliciter, ardeo",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ovid.remedia_amoris,14.0,"gaudeo, et, uenio, nauigo, ille, suus",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
ovid.remedia_amoris,15.0,"at, siquis, malus, fero, indignus, regnum, puella",7,"NaN, NaN, -1.0, NaN, -1.0, 0.0, NaN",-0.286,-0.286,,0.0
ovid.remedia_amoris,16.0,"ne, pereo, noster, sentio, ars, ops",6,"NaN, NaN, NaN, NaN, 0.0, 0.0",0.0,0.0,,0.0
ovid.remedia_amoris,17.0,"cur, aliquis, laqueus, collum, nodo, amator",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,"nodo, amator",0.333
