Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
q_cicero.on_running_for_consul,1.0,"etsi, tu, omnis, suppeto, is, qui, consequor, ingenium, aut, usus, homo, laut, intelligentia, possum, tamen, amor, noster, non, sum, alienus, arbitror, ad, tu, perscribo, is, qui, ego, uenio, in, mens, dies, atque, nox, de, petitio, tuus, cogito, non, ut, aliquis, ex, hic, nosco, addisco, sed, ut, is, qui, in, res, dispergo, atque, infinitus, uideo, sum, ratio, et, distributio, sub, unus, aspectus, pono",62,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN",0.024,-0.008,"tu, tu, hic",0.048
q_cicero.on_running_for_consul,2.0,"ciuitas, qui, sum, cogito, quis, peto, qui, sum, prope, cottidie, tu, hic, ad, forum, descendo, meditor, sum, nouus, sum, consulatus, peto, roma, sum, nomen, nouitas, dico, gloria, magnus, subleuo, semper, is, res, multus, dignitas, habeo, non, possum, qui, dignus, habeo, patronus, consularis, indignus, consulatus, putaris, quam, ob, res, quoniam, ab, hic, laus, proficisco, et, quisquis, sum, ex, hic, sum, ita, paro, ad, dico, uenio, quasi, in, singuli, causa, iudicium, de, omnis, ingenium, sum, sum",74,"0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, 0.0, 0.0, NaN, NaN, NaN, 0.0, 0.0, 1.0, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, 0.5, -1.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, 0.5, NaN, NaN",0.068,-0.014,"tu, hic, hic, hic",0.054
q_cicero.on_running_for_consul,3.0,"is, facultas, adiumentum, qui, tu, scio, sum, sepono, ut, paro, atque, promptus, sum, cura, et, saepe, qui, de, demosthenis, studium, et, exercitatio, scribo, demetrius, recordaris, deinde, ut, amicus, et, multitudo, et, genus, appareo, habeo, enim, is, qui, non, multus, homo, nosco, habeo, omnis, publicanus, totus, fere, equester, ordo, multus, proprius, municipium, multus, abs, tu, defendo, homo, quisque, ordo, aliquot, collegium, praeterea, studium, dico, concilio, multus, adulescentulus, cottidianus, amicus, assiduitas, et, frequentia",71,"NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.0, 0.0, 0.0, 0.0, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, 1.0, 0.5, NaN, NaN",0.056,-0.014,"tu, tu, assiduitas",0.042
q_cicero.on_running_for_consul,4.0,"hic, cura, ut, teneo, commoneo, et, rogo, et, omnis, ratio, efficio, ut, intellego, qui, debeo, tuus, causa, refero, gratia, qui, uolo, obligo, tuus, tempus, sui, alius, nullus, sum, etiam, hic, multus, uideo, adiuuaris, possum, nouus, homo, homo, nobilis, uoluntas, et, magnus, consularis, prodo, qui, in, locus, atque, numerus, peruenio, uelis, ab, is, ipse, ille, locus, atque, dignus, numerus, putaris",59,"NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, 1.0, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 1.0, 0.0, 0.0, 1.0, 0.0, NaN, 0.0, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 1.0, NaN, NaN",0.059,-0.017,"hic, hic",0.034
q_cicero.on_running_for_consul,5.0,"is, rogo, omnis, sum, diligenter, et, ad, is, ad-lego, sum, persuadeo, is, nos, semper, cum, optimas, de, res, publicus, sentio, paruus, popularis, sum, si, quis, loquor, popularis, uideo, is, nos, is, consilium, facio, ut, nos, gnaeus, pompeius, adiungo, ut, is, qui, multus, possum, aut, amicus, in, noster, petitio, habeo, aut, certus, non, aduersarius",53,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, -1.0",0.019,-0.019,"optimas, popularis, popularis",0.057
q_cicero.on_running_for_consul,6.0,"praeterea, adulescens, nobilis, elaboro, ut, habeo, uel, ut, teneo, studiosi, qui, babes, multus, dignitas, affero, multus, habeo, perficio, ut, scio, quantus, in, is, puto, sum, si, adduco, ut, is, qui, uolo, cupio, multus, pro-sum",34,"NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN",0.059,0.0,adulescens,0.029
q_cicero.on_running_for_consul,7.0,"atque, multus, etiam, nouitas, tuus, adiuuo, qui, is, modus, nobilis, cum, tu, peto, ut, nemo, sum, qui, audeo, dico, multus, ille, nobilitas, quam, tu, uirtus, prosum, oportet, nam, publicus, galba, et, lucius, cassius, superus, locus, nascor, quis, sum, qui, peto, consulatus, puto, uideo, igitur, amplus, ex, familia, homo, qui, sine, neruus, sum, tu, paris, non, sum, at, antonius, et, catilina, molestus, sum",62,"NaN, 0.0, NaN, 0.0, 0.0, NaN, NaN, NaN, 0.5, 1.0, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, 0.0, NaN, 1.0, NaN, NaN, 1.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN",0.048,-0.024,"tu, tu, tu, catilina",0.065
q_cicero.on_running_for_consul,8.0,"immo, homo, nauo, industrius, innocens, dissero, gratiosus, apud, is, qui, res, iudico, opto, competitor, ambo, ab, puemitia, sicarius, ambo, libidinosus, ambo, egeo, is, alter, bonus, proscribo, uideo, uoco, denique, audio, iuro, sui, roma, iudicium, aequus, cum, homo, graecus, certo, non, possum, ex, senatus, eicio, scio, bonus, uerus, censor, existimatio, in, praetura, competitor, habeo, amicus, sabidio, et, panthera, cum, ad, tabula, qui, pono, non, habeo, quo, tamen, in, magistratus, amica, quam, domus, palam, habeo, de, machina, emo, in, petitio, autem, consulatus, cappadoces, omnis, compilaris, per, turpis, legatio, malo, quam, adsum, et, populus, romanus, supplicaris",93,"NaN, 0.0, NaN, 1.0, 0.5, NaN, 1.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, -1.0, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 1.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN",0.054,-0.032,"innocens, sicarius, libidinosus, emo, turpis",0.054
q_cicero.on_running_for_consul,9.0,"alter, uerus, deus, bonus, quo, splendor, sum, primus, nobilitas, idem, qui, catilina, num, magnus, non., sed, uirtus, quam, ob, res, qui, antonius, umbra, suus, metuo, hic, ne, lex, quidem, nascor, in, pater, egestas, educo, in, soror, stuprum, corroboro, in, caedes, ciuis, qui, primus, ad, res, publicus, aditus, in, eques, romanus, occaedes, sum, nam, ille, qui, memini, galli, qui, tum, titiniorum, atque, nanniorum, atque, tanusiorum, caput, demo, sulla, unus, catilina, praeficio, in, qui, ille, homo, bonus, quintus, caecilium, soror, suus, uir, eques, romanus, nullaris, pars, cum, semper, natura, tum, etiam, aetas, iam, quiesco, suus, manus, occido",95,"NaN, 0.5, 0.0, 1.0, NaN, 1.0, NaN, 0.5, 1.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 1.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, -1.0, NaN, NaN, NaN, -1.0, NaN, NaN, -0.5, 0.5, NaN, 0.5, NaN, 0.0, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN",0.058,-0.026,"catilina, hic, egestas, stuprum, caedes, catilina, occido",0.074
q_cicero.on_running_for_consul,10.0,"quis, ego, nunc, dico, peteme, is, consulatus, qui, homo, carus, populus, romanus, marcus, mare, inspecto, populus, romanus, uitis, per, totus, umbem, caedo, ad, bustum, ago, ibi, omnis, cmuciatu, lacero, uiuo, sto, collum, gladius, suus, dextera, secuemit, cum, sinistra, capillus, is, ab, uertex, teneo, caput, suus, manus, fero, cum, inter, digitus, is, riuus, sanguis, fluo, qui, postea, cum, histrio, et, cum, gladiator, ita, uiuo, ut, alter, libido, alter, facinus, adiutor, habeo, qui, nullus, in, locus, tam, sancio, atque, tam, religiosus, accedo, in, quo, non, etiam, si, alius, culpa, non, sum, tamen, ex, suus, nequitia, dedecor, suspicio, relinquo, qui, ex, curia, curios, et, annios, ab, atmiis, sapalas, et, caruilios, ex, equester, ordo, pompilios, et, uettios, sui, amicus, comparo, qui, tantus, habeo, audacia, tantus, nequitia, tantus, denique, in, libido, ars, et, efficacitas, ut, prope, in, parens, gremium, praetextatus, liber, constupro, quis, ego, nunc, tu, de, africa, quis, de, testis, dictum, scribo, nosco, sum, et, is, tu, saepis, lego, sed, tamen, hic, ego, non, praetermitto, uideo, qui, primus, ex, is, iudicium, tam, egeo, discedo, quam, quidam, iudex, is, ante, ille, in, is, iudicium, fuemunt, deinde, tam, inuidiosus, ut, alius, in, is, iudicium, cottidie, flagito, hic, sui, sic, habeo, ut, magis, timeo, etiam, si, queo, quam, ut, contemno, si, quis, commoueo",206,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, 0.0, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, -1.0, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, -0.5, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, 1.0, NaN, -1.0, NaN, NaN, NaN, -0.5, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",-0.002,-0.036,"bustum, lacero, capillus, libido, facinus, culpa, nequitia, dedecor, audacia, nequitia, libido, tu, tu, hic, inuidiosus, hic",0.078
