Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
cicero.in_vatinium,1.0,"si, tantus, modo, uatini, quis, indignitas, postulo, specto, uolo, facio, is, qui, hic, uehemens, placeo, ut, tu, qui, testimonium, propter, turpitudo, uita, sordes, domesticus, nullus, momentum, puto, taceo, dimitto, nemo, enim, hic, aut, ita, tu, refuto, ut, grauis, aduersarius, aut, ita, rogo, ut, religiosus, testo, arbitror, sed, sum, paulus, ante, in-tempero, fortasse, quam, debeo, odium, enim, tuus, in, quo, etsi, omnis, propter, tuus, in, ego, scelus, supero, debeo, tamen, ab, omnis, paene, uinco, sic, sum, incito, ut, cum, tu, non, paruus, contemno, quam, odi, tamen, uexo, potis, quam, despicio, uolo, dimitto, qui, res, ne, tu, hic, honor, ab, ego, habeo, fors, miro",102,"NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, 0.0, -1.0, 0.0, NaN, 0.0, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, 0.0, NaN",-0.059,-0.069,"hic, tu, turpitudo, sordes, hic, tu, in-tempero, scelus, tu, uexo, tu, hic",0.118
cicero.in_vatinium,2.0,"qui, interrogo, qui, nemo, congredior, nemo, aditus, nemo, suffragium, nemo, ciuitas, nemo, lux, dignus, puto, nullus, ego, causa, impello, nisi, ut, ferocitas, iste, tuus, comprimo, et, audacia, frango, et, loquacitas, paucus, meus, interrogatio, inretitam, retardaris, etenim, debeo, uatini, etiam, si, fallo, uenio, in, suspicio, publicus, sestius, tamen, ego, ignosco, si, in, tantus, homo, de, ego, optume, mereo, periculum, et, tempus, is, et, uoluntas, pareo, uolo",65,"NaN, NaN, NaN, -0.5, NaN, -0.5, NaN, -0.5, 0.0, -0.5, 0.5, -0.5, NaN, 1.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, -1.0, NaN, 0.0, NaN, NaN, 1.0, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, -1.0, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN",-0.038,-0.077,"audacia, fallo",0.031
cicero.in_vatinium,3.0,"sed, tu, hesternus, dies, pro, testimonium, sum, mentior, cum, adfirmaris, nullus, tu, omnino, cum, albinouano, sermo, non, modo, de, sestius, accuso, sed, nullus, umquam, de, res, sum, paulus, ante, imprudens, indico, qui, et, titus, claudium, cum, tu, communico, et, ab, tu, consilium, publicus, sero, accuso, peto, et, albinouanum, qui, antea, uix, tu, notus, sum, dico, domus, tuus, uenio, multus, cum, tu, loquor, dico, denique, contio, publicus, sero, scribo, qui, neque, nosco, neque, reperio, possum, tu, albinouano, do, eo, in, hic, iudicium, sum, recito, in, quo, alter, sum, confiteor, ab, tu, accusator, sum, instruo, et, suborno, in, alter, inconstantia, tuus, cum, leuitas, tum, etiam, periurium, implicatam, refello, cum, qui, ab, tu, alienus, sum, dico, is, domus, tuus, sum, qui, praeuaricator, sum, ab, initium, iudico, is, tu, qui, rogo, ad, accuso, liber, dico, do",132,"NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, -0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN",-0.011,-0.023,"tu, tu, tu, tu, tu, tu, contio, tu, hic, tu, periurium, tu, tu",0.098
cicero.in_vatinium,4.0,"nimium, sum, uehemens, ferox, natura, non, puto, fas, sum, uerbum, ex, os, exeo, quisquam, qui, non, iucundus, et, honorificus, ad, auris, tuus, accido, uenio, irascor, omnis, qui, ego, simul, atque, tu, aspicio, prior, quam, loquor, coepio, cum, ante, gellius, nutricula, seditiosor, omnis, testimonium, dico, sentio, atque, prouideo, repens, enim, tu, tamquam, serpens, e, latibulum, oculus, emineo, inflo, collum, tumidus, ceruix, infero, ut, ego, renouo, ille, tuus, in, to",68,"0.0, NaN, NaN, -1.0, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, 1.0, NaN, 1.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN",0.015,-0.022,"ferox, tu, seditiosor, tu, serpens",0.074
cicero.in_vatinium,5.0,"uetus, meus, amicus, sed, tamen, tuus, familiaris, defendo, cum, in, hic, ciuitas, oppugnatio, soleo, qui, tu, nunc, uto, non, numquam, defensio, numquam, uituperaris, sed, quaero, ab, tu, cur, caius, cornelius, non, defendo, num, lex, aliqui, cornelius, contra, auspicium, fero, num, aeliam, num, fufiam, lex, neglego, num, consul, uis, affero, num, armo, homo, templum, teneo, num, intercessor, uis, deicio, num, religio, polluo, aerarius, exhaurio, res, publicus, compilo, tuus, sum, tuus, sum, hic, omnis, cornelio, is, modus, nihil, obicio, sum, co-dico, lego, dico, defendo, testis, collega, suus, non, sui, recito, causa, lego, sed, recognosco, consto, tamen, cornelius, concilium, ille, dies, dimitto, intercessio, pareo, tu, uerus, qui, cornelis, defensio, displiceo, quam, causa, ad, patronus, tuus, aut, qui, os, affero, qui, iam, praescribo, quantus, ille, probrum, sum, sum, si, tu, defendo, cum, tu, ego, cornelis, defensio, in, maledictum, obicio, putaris",136,"0.0, 0.0, 1.0, NaN, NaN, 0.0, 1.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.5, 1.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, 1.0, NaN, NaN, NaN, 0.0, 0.0, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN",0.044,-0.015,"hic, tu, tu, polluo, hic, tu, probrum, tu, tu, maledictum",0.074
cicero.in_vatinium,6.0,"atque, tamen, hic, uatini, memento, paulus, post, iste, defensio, meus, quam, tu, bonus, uis, displiceo, dico, ego, cum, uniuersus, populus, romanus, summus, uoluntas, tum, bonus, quisque, singularis, studium, magnificentissime, post, homo, memoria, consul, facio, omne, is, ego, pudenter, uiuo, con-sequor, sum, qui, tu, impudens, uaticinor, spero, tu, saepe, dico, nam, qui, ego, discedo, ob-iacio, meus, et, qui, hic, qui, ille, dies, acerbus, sum, qui, idem, tu, laetus, luctus, et, gemitus, renouaris, uolo, tantus, tu, respondeo, ego, cum, tu, ceter, res, publicus, pestis, armus, causa, quaero, et, cum, per, meus, nomen, fortuna, locuples, diripio, sanguis, princeps, ciuitas, exsorbeo, crudelitas, uester, odium, diuturnus, qui, in, bonus, iam, inuetero, habeo, saturaris, cupio, scelus, et, furor, uester, cedo, malo, frango, quam, resisto",118,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 1.0, 1.0, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, NaN, 1.0, NaN, 0.0, 0.5, NaN, NaN, 0.0, 1.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, -1.0, NaN, NaN, NaN, NaN, 1.0, -1.0, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, -1.0, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, 0.0, 0.0, 1.0, NaN, NaN, 0.5, 0.5, NaN, -1.0, NaN, -1.0, 0.5, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN",0.008,-0.072,"hic, tu, tu, impudens, tu, hic, acerbus, tu, tu, tu, pestis, locuples, crudelitas, scelus, furor",0.127
cicero.in_vatinium,7.0,"qui, res, peto, ab, tu, ut, ego, ignosco, uatini, is, cum, patria, parco, quam, seruo, et, si, ego, tu, perditor, et, uexator, res, publicus, fero, tu, ego, conseruator, et, custos, ferus, deinde, is, uir, discedo, increpo, qui, uideo, omnis, ciuis, desiderium, ipse, denique, res, publicus, luctus, sum, reuoco, at, enim, dico, non, meus, sed, res, publicus, causa, homo, de, meus, reditus, laboro, quasi, uerus, quisquam, uir, excello, animus, in, res, publicus, ingredior, optabilis, quisquam, arbitror, quam, sui, ab, suus, ciuis, res, publicus, causa, diligo",84,"NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, 0.0, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, 0.0, 0.0, 0.0, NaN, 0.0, 0.0, NaN, NaN, 0.5, NaN, 0.5, NaN, 0.5, NaN, 0.0, 0.0, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.0, 0.0, 0.0, NaN",0.024,-0.024,"tu, tu, tu, ferus, increpo",0.06
cicero.in_vatinium,8.0,"scilicet, asper, meus, natura, difficilis, aditus, grauis, uultus, superbus, respondeo, insoleo, uito, nemo, consuetudo, meus, nemo, humanitas, nemo, consilium, nemo, auxilium, requiro, qui, desiderium, ut, hic, minimus, dico, forum, maestus, muto, curia, omnis, denique, bonus, ars, studium, sileo, sed, nihil, sum, facio, meus, causa, omnis, ille, senatus, consulo, populus, iubeo, italia, totus, cunctaris, societas, collegium, omnis, decretum, de, ego, res, publicus, causa, sum, facio, fateor, quis, ergo, homo, imperitus, solidus, laus, atque, uerus, dignitas, praesto, ego, possum, accido, quis, optabilis, ad, immortalitas, gloria, atque, in, memoria, meus, nomen, sempiternus, quam, omnis, hic, ciuis, meus, iudicaris, ciuitas, salus, cum, unus, meus, salus, sum, coniungo",103,"NaN, -0.5, 0.0, 0.0, -0.5, NaN, -0.5, NaN, -1.0, NaN, NaN, NaN, -0.5, NaN, 0.0, -0.5, 0.0, -0.5, 0.5, -0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, -1.0, NaN, NaN, 1.0, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, -0.5, 0.0, 1.0, NaN, 0.5, 1.0, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, 0.5, 0.0, NaN, NaN, 1.0, 0.0, 0.0, NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, 0.5, 1.0, NaN, NaN, 0.0, 1.0, NaN, NaN",0.044,-0.068,"hic, societas, imperitus, hic",0.039
cicero.in_vatinium,9.0,"qui, quidem, ego, tu, reddo, tuus, nam, ut, tu, ego, caris, sum, dico, senatus, populo, romanus, non, tam, meus, causa, quam, res, publicus, sic, ego, tu, quamquam, sum, omnis, diritas, atque, immanitas, taeter, tamen, dico, sum, odium, ciuitas, non, tam, tuus, quam, res, publicus, nomen, atque, ut, aliquando, ad, tu, uenio, de, ego, hic, sum, exter, quis, quisque, nos, de, sui, ipse, loquor, non, sum, sanus, requiro, bonus, uir, quis, dico, is, sum, magnus, momentum, et, pondus",77,"NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, -1.0, -1.0, NaN, NaN, NaN, -1.0, 0.5, NaN, NaN, 0.0, NaN, 0.0, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, 1.0, 0.5, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN",-0.006,-0.052,"tu, tu, tu, immanitas, taeter, tu, hic",0.091
cicero.in_vatinium,10.0,"duo, sum, tempus, qui, noster, ciuis, specto, iudicium, de, nos, unus, honor, alter, salus, honor, talis, populus, romanus, uoluntas, paucus, sum, defero, atque, ego, salus, tantus, studium, ciuitas, nemo, reddo, de, tu, autem, homo, quis, sentio, in, honor, experior, sum, in, salus, exspecto, sed, tamen, ne, ego, cum, hic, princeps, ciuitas, qui, adsum, publicus, sestius, sed, ut, cum, tu, cum, homo, unus, non, solus, impudens, sed, etiam, sordidus, atque, infimus, confero, de, tu, ipse, homo, et, adrogo, et, ego, inimicus, quaero, uatini, utrum, tandem, puto, hic, ciuitas, hic, res, publicus, hic, urbs, hic, templum, aerarius, curia, uis, hic, qui, uideo, hic, bonus, fortuna, liber, ciuis, ceterus, denique, deus, immortalis, delubrum, auspicium, religio, bonus, sum, et, praestabilis, ego, ciuis, in, hic, ciuitas, nascor, an, tu, cum, ego, hic, respondeo, aut, ita, impudens, ut, manus, ab, tu, homo, uix, abstineo, possum, aut, ita, dolenter, ut, aliquando, iste, qui, sum, inflo, rumpo, tum, memoriter, respondeo, ad, is, qui, tu, de, tu, ipse, rogaro",160,"NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, 0.5, NaN, NaN, NaN, 1.0, NaN, 1.0, 1.0, NaN, 0.0, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, 1.0, NaN, 0.5, 0.5, -0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, -0.5, -1.0, NaN, NaN, -1.0, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, 0.0, NaN, 0.5, NaN, NaN, NaN, -1.0, 1.0, NaN, NaN, NaN, NaN, 1.0, 0.0, 0.5, 0.5, 0.0, NaN, 0.0, 0.5, NaN, 0.0, 1.0, 1.0, NaN, NaN, 1.0, NaN, 0.5, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.072,-0.037,"tu, hic, tu, impudens, sordidus, tu, hic, hic, hic, hic, hic, hic, hic, tu, hic, impudens, tu, tu, tu",0.119
