Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
cicero.pro_scauro,1.0,"magnus, sum, opto, marcus, scaurus, iudex, ut, nullus, suscepto, quisquam, odium, sine, offensio, atque, molestia, retineo, is, qui, praecipuus, semper, studeo, genus, familia, nomen, dignitas, subeo, etiam, populus, iudicium, inquiro, gnaeus, domitius, tribunus, plebs, reus, sum, facio, ab, quintus, seruilio, caepio, lex, seruilis, cum, iudicium, penis, equester, ordo, sum, et, publicus, rutilio, damno, nemo, tam, innocens, uideo, ut, non, timeo, ille, ab, idem, etiam, lex, uario, custos, ille, res, publicus, proditio, sum, in, crimen, non, enim, tantus, admiror, sum, ego, ille, uir, sicut, omnis, sed, etiam, praecipuus, diligo, primus, enim, ego, flagro, studium, laus, in, spes, impello, possum, uirtus, ego, sine, praesidium, fortuna, quo, contendo, labor, et, constantia, peruenio, et, quoniam, congero, sum, accusatio, magis, aceruus, quidam, crimen, non, distinctio, aliqui, gener, et, uarietas, bostaris, igitur, quidam, dico, norensem, fugio, e, sardinia, scaurus, aduenio, prior, ille, sepelio, quam, hic, cena, sum, suffero, si, denique, in, ille, bonus, inuado, nullus, modo, possum, nisi, mortuus, bostaris, si, ego, herculis, iudex, pro, lucius, tubulus, dico, qui, unus, ex, omnis, memoria, scelero, et, audax, sum, accipio, tamen, non, timeo, uenenum, hospes, aut, conuiua, si, dico, ceno, ab, ille, do, qui, neque, heres, neque, irascor, sum, bonus, quam, qui, habeo, uenio, agedum, ego, defendo, scaurus, triaris, defendo, tu, matrem.te, metuo, ne, non, soluo, sum, bonus, denique, reus, ne, retineo, uolo, qui, proscribo, sum, nisi, cum, do, nolo, ara, clam, ex, sardinia, sum, fugio, conor, redimo, sui, is, pars, corpus, propter, quam, magnus, expeto, sic, inquam, sui, iudex, res, habeo, neque, hic, ab, ego, nouus, disputo, sed, quaero, ab, alius, sum",255,"0.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, -1.0, NaN, -1.0, NaN, -1.0, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, 0.5, 0.0, 1.0, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, -0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, -0.5, NaN, 0.5, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, -0.5, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, 0.0, -0.5, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, 0.5, 1.0, NaN, 0.5, NaN, NaN, 1.0, NaN, NaN, NaN, 0.0, NaN, NaN, -0.5, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN",0.031,-0.031,"reus, damno, innocens, proditio, crimen, crimen, sepelio, hic, scelero, audax, tu, reus, hic",0.051
cicero.pro_scauro,1.1,"ille, audio, hic, uerus, memini, atque, paene, uideo, idem, stirps, et, nomen, publicus, crassus, ne, in, manus, incido, inimicus, sui, ipse, interimo",22,"NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, 0.0, NaN, -1.0, NaN, NaN, NaN",-0.023,-0.045,hic,0.045
cicero.pro_scauro,2.0,"atque, neque, ille, crassus, facio, superus, idem, honor, utor, qui, fortis, in, bellum, sum, marcus, aquilius, possum, imitor, tis, suus, res, gero, senectus, dedecor, foedo, quis, uerus, alter, crassus, tempus, idem, num, aut, clarus, uir, iulii, aut, superus, imperium, praeditus, marcus, antonius, possum, imitor",44,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, 0.5, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN",0.08,0.0,"dedecor, foedo",0.045
cicero.pro_scauro,3.0,"quis, in, omnis, monumentum, graecia, qui, sum, uerbum, orno, quam, res, quis, inuenio, cum, ab, a-iaceo, fabula, discedo, qui, tamen, ipse, ignominia, dolor, ut, aio, poeta, uictor, insoleo, sui, uinco, non, possum, patior, praeter, atheniensem, themistoclem, qui, sui, ipse, mors, multo",41,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, -1.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN",-0.049,-0.049,ignominia,0.024
cicero.pro_scauro,4.0,"at, graeculis, quidem, multus, fingo, apud, qui, etiam, cleombrotum, ambraciotam, fero, sui, ex, alo, praecipito, murus, non, quo, acerbitas, accipio, aliquis, sed, ut, uideo, scribo, apud, graecus, cum, superus, philosophus, platonis, grauis, et, orno, scribo, liber, de, mors, lego, in, quo, ut, opinor, socrates, ille, ipse, dies, quo, sum, is, morior, permultus, disputo, hic, sum, mors, quam, nos, uita, puto, cum, corpus, animus, tamquam, carcer, saepio, teneo, uita, autem, sum, is, cum, idem, animus, uinclum, corpus, libero, in, is, sui, locus, unde, sum, ortus, refero",85,"NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, -0.5, NaN, NaN, NaN, 0.5, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, 0.0, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN",-0.018,-0.035,"fingo, acerbitas, hic, carcer, uinclum",0.059
cicero.pro_scauro,5.0,"num, igitur, iste, tuus, sarda, pythagoram, aut, platonem, norat, aut, lego, qui, tamen, ipse, mors, ita, laudo, ut, fugio, uita, ueto, atque, is, contra, foedus, fio, dico, lego, natura, alius, quidem, causa, mors, uoluntarius, nullus, profecto, iustus, reperio, atque, hic, ille, uideo, nam, iacio, quidam, locus, uito, ille, mulier, spolio, quam, pudicitia, malo",53,"NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, -1.0, 0.0, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN",-0.028,-0.057,"sarda, hic, mulier, pudicitia",0.075
cicero.pro_scauro,6.0,"sed, refugio, statim, neque, de, pudicitia, multus, dico, uereor, credo, ne, qui, irrideo, nos, do, et, iocor, locus, consto, enim, ille, cum, deformitas, summus, sum, tum, etiam, senectus, qui, res, qui, possum, quiuis, salio, iste, sarda, sum, ullus, libido, aut, amor, sum, suspicio",43,"NaN, NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, 1.0, NaN, -0.5",-0.012,-0.047,"pudicitia, deformitas, sarda, libido",0.093
cicero.pro_scauro,7.0,"atque, ne, existimo, triaris, qui, affero, in, dico, ego, fingo, ipse, et, non, ab, reor, causa, cognosco, explico, tu, qui, sum, opinio, in, sardinia, de, iste, mulier, mors, nam, sum, duo, quo, etiam, facilis",34,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, -1.0, NaN, NaN, NaN, NaN, NaN, 0.5",-0.015,-0.029,"fingo, tu, mulier",0.088
cicero.pro_scauro,8.0,"tu, dico, libidinosus, atque, improbus, mater, infamis, atque, nosco, adulterium, iam, diu, diligo, is, cum, hic, suus, uxor, anus, et, locupleto, et, molestus, timeo, neque, is, habeo, in, matrimonium, propter, foeditas, neque, dimitto, propter, doto, uolo, itaque, con-pecto, cum, mater, bostaris, consilium, capio, ut, uterque, roma, uenio, ibi, sui, aliqui, ratio, inuenio, qui, ad, modus, ille, uxor, duco, confirmo",59,"NaN, NaN, -1.0, NaN, -1.0, 0.0, -1.0, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN",-0.076,-0.093,"tu, libidinosus, improbus, infamis, adulterium, hic, uxor, locupleto, matrimonium, foeditas, uxor",0.186
cicero.pro_scauro,9.0,"hic, opinio, sum, ut, dico, duplex, unus, non, abhorreo, ab, status, natura, res, arinis, uxor, paelicatus, dolor, concito, cum, audio, arinem, cum, ille, suus, metus, et, fuga, simulatio, roma, sui, confero, ut, cum, antea, consuetudo, inter, is, sum, tum, etiam, nuptiae, iungo, ardeo, dolor, muliebris, et, morior, quam, is, perpetior, malo",51,"NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, 0.0, 0.0, NaN, 0.0, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, -0.5, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN",-0.078,-0.078,"hic, uxor, nuptiae, muliebris",0.078
